tf,target,mode,weight,confidence
ESR1,TERT,Activation,1.0,A
ESR1,TFF1,Activation,1.0,A
ESR1,TGFA,Activation,1.0,A
ESR1,TP53,Repression,-1.0,A
ESR1,TYMS,Activation,1.0,A
ESR1,UGT2B15,Activation,1.0,A
ESR1,VEGFA,Activation,1.0,A
ESR1,YWHAQ,Activation,1.0,A
ESR1,ZFHX3,Activation,1.0,A
ESR2,CD68,Activation,1.0,A
ESR2,CTSD,Activation,1.0,A
ESR2,FOS,Repression,-1.0,A
ESR2,JUN,Activation,1.0,A
ESR2,MKNK2,Activation,1.0,A
ESR2,OXT,Activation,1.0,A
ESR2,PTPRC,Activation,1.0,A
ESR2,SERPINE1,Repression,-1.0,A
ESR2,TERT,Activation,1.0,A
ESR2,TFF1,Activation,1.0,A
ESR2,TGFA,Activation,1.0,A
ESRRA,CYP19A1,Activation,1.0,A
ESRRA,NR2F6,Repression,-1.0,A
ETS1,ABCB1,Activation,1.0,A
