tf,target,mode,weight,confidence
TP53,E2F7,Activation,1.0,A
TP53,E2F3,Repression,-1.0,A
TP53,CABLES1,Activation,1.0,A
TP53,APCS,Activation,1.0,A
SP100,ETS1,Repression,-1.0,A
SP1,YY1,Activation,1.0,A
SP1,TNFSF14,Activation,1.0,A
RELA,CTSB,Activation,1.0,A
RELA,COL2A1,Repression,-1.0,A
RELA,COL1A1,Repression,-1.0,A
RELA,CFLAR,Activation,1.0,A
RELA,CDK6,Activation,1.0,A
RELA,CDK4,Activation,1.0,A
RELA,CD83,Activation,1.0,A
RELA,CD69,Activation,1.0,A
RELA,CD58,Activation,1.0,A
RELA,XIAP,Activation,1.0,A
RELA,PPARD,Repression,-1.0,A
RELA,BIRC5,Activation,1.0,A
RELA,BIRC2,Activation,1.0,A
RELA,AMH,Activation,1.0,A
RELA,AGER,Activation,1.0,A
REL,TNFAIP3,Activation,1.0,A
REL,CSRP1,Activation,1.0,A
RARG,ICAM1,Activation,1.0,A
ATF2,RB1,Activation,1.0,A
RARA,THBD,Activation,1.0,A
RELA,CCL4,Activation,1.0,A
E2F1,RELA,Activation,1.0,A
RELA,EPAS1,Activation,1.0,A
RELA,VEGFD,Activation,1.0,A
RELA,THBD,Repression,-1.0,A
RELB,CCL19,Activation,1.0,A
RELA,TBX21,Activation,1.0,A
RELA,SNAI1,Activation,1.0,A
RELA,SLC25A27,Activation,1.0,A
RELA,RIPK2,Activation,1.0,A
RELA,PTPN13,Activation,1.0,A
RELA,PTHLH,Activation,1.0,A
RELA,PLAUR,Activation,1.0,A
RELA,PCK2,Repression,-1.0,A
RELA,OPTN,Activation,1.0,A
RELA,NOLC1,Activation,1.0,A
RELA,NCAM1,Activation,1.0,A
RELA,MMP2,Activation,1.0,A
RELA,MMP14,Activation,1.0,A
RELA,KLK3,Activation,1.0,A
RELA,IRF4,Activation,1.0,A
RELA,IL1A,Activation,1.0,A
RELA,IL18,Activation,1.0,A
RELA,HDAC1,Activation,1.0,A
RELA,GADD45G,Activation,1.0,A
RARA,SCD,Activation,1.0,A
RARA,PRKCA,Activation,1.0,A
RARA,MACROD1,Repression,-1.0,A
RARA,ETS1,Activation,1.0,A
POU2F1,PLAU,Activation,1.0,A
POU2F1,GCM1,Activation,1.0,A
POU2F1,BDKRB1,Activation,1.0,A
POU2F1,GNRH1,Activation,1.0,A
POU1F1,GH2,Activation,1.0,A
PKNOX1,PTPN6,Activation,1.0,A
RELA,PGR,Repression,-1.0,A
PGR,KLK3,Activation,1.0,A
PAX6,PDHX,Repression,-1.0,A
PAX5,BCL2,Repression,-1.0,A
PAX2,TP53,Repression,-1.0,A
NRF1,FXR2,Activation,1.0,A
PAX6,ITGB1,Activation,1.0,A
NR3C1,ETS1,Repression,-1.0,A
NR3C1,CDK6,Repression,-1.0,A
NR3C1,ATF2,Repression,-1.0,A
NR2F1,APOA2,Repression,-1.0,A
NR1H4,NR1I2,Activation,1.0,A
NPAS2,CRY2,Activation,1.0,A
NR1H4,ABCB4,Activation,1.0,A
NFYB,FXR2,Activation,1.0,A
POU2F1,POU2AF1,Activation,1.0,A
RELA,TNFAIP3,Activation,1.0,A
POU2F1,RRM2B,Activation,1.0,A
POU2F1,ST6GAL1,Activation,1.0,A
RARA,CCNA1,Repression,-1.0,A
PROX1,NR5A2,Repression,-1.0,A
PPARG,TSHR,Repression,-1.0,A
PPARG,TNFRSF11B,Repression,-1.0,A
