pathway,gene,source
Antiviral Mechanism by IFN-stimulated Genes,RNASEL,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,RPS27A,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,SEC13,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,SEH1L,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,SNCA,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,SPHK1,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,STAT1,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,STAT3,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,STRA13,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,SUMO1,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TARBP2,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TP53,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TPR,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TRIM25,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TRS1,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBA1A,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBA1B,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBA1C,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBA3C,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBA3E,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBA4A,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBA4B,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBA8,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBAL3,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBB1,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBB2A,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBB2B,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBB3,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBB4A,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBB4B,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBB6,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBB8,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TUBB8B,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,UBA52,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,UBA7,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,UBB,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,UBC,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,UBE2E1,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,UBE2I,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,UBE2L6,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,UBE2N,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,USP18,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,VP3,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,VTRNA2-1,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,GAG,Reactome_Pathways_2024
Antiviral Mechanism by IFN-stimulated Genes,TAT,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,AAAS,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,ARIH1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,BECN1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,EIF2AK2,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,EIF4A1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,EIF4A2,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,EIF4A3,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,EIF4E,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,EIF4E2,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,EIF4E3,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,EIF4G1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,EIF4G2,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,EIF4G3,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,FLNB,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,HERC5,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,IFIT1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,IRF3,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,ISG15,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,JAK1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,KPNA1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,KPNA2,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,KPNA3,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,KPNA4,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,KPNA5,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,KPNA7,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,KPNB1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,MAPK3,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,MX1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,MX2,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NDC1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NEDD4,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NS,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP107,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP133,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP153,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP155,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP160,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP188,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP205,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP210,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP214,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP35,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP37,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP42,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP43,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP50,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP54,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP58,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP62,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP85,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP88,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP93,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,NUP98,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,PIN1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,PLCG1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,POM121,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,POM121C,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,PPM1B,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,RAE1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,RANBP2,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,RIGI,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,RPS27A,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,SEC13,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,SEH1L,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,STAT1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,TPR,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,TRIM25,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,UBA52,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,UBA7,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,UBB,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,UBC,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,UBE2E1,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,UBE2L6,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,UBE2N,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,USP18,Reactome_Pathways_2024
ISG15 Antiviral Mechanism,GAG,Reactome_Pathways_2024
