pathway,gene
Interferon Alpha Response,C1S
Interferon Alpha Response,LAP3
Interferon Alpha Response,LAMP3
Interferon Alpha Response,GBP4
Interferon Alpha Response,NCOA7
Interferon Alpha Response,TMEM140
Interferon Alpha Response,CD74
Interferon Alpha Response,GMPR
Interferon Alpha Response,PSMA3
Interferon Alpha Response,PROCR
Interferon Alpha Response,IL7
Interferon Alpha Response,IFI30
Interferon Alpha Response,IRF2
Interferon Alpha Response,CSF1
Interferon Alpha Response,IL15
Interferon Alpha Response,CNP
Interferon Alpha Response,TENT5A
Interferon Alpha Response,IL4R
Interferon Alpha Response,CMTR1
Interferon Alpha Response,CD47
Interferon Alpha Response,LPAR6
Interferon Alpha Response,MOV10
Interferon Alpha Response,CASP8
Interferon Alpha Response,TXNIP
Interferon Alpha Response,SLC25A28
Interferon Alpha Response,SELL
Interferon Alpha Response,TRAFD1
Interferon Alpha Response,BATF2
Interferon Alpha Response,RIPK2
Interferon Alpha Response,CCRL2
Interferon Alpha Response,NUB1
Interferon Alpha Response,OGFR
Interferon Alpha Response,MVB12A
Interferon Alpha Response,ELF1
Interferon Gamma Response,STAT1
Interferon Gamma Response,ISG15
Interferon Gamma Response,IFIT1
Interferon Gamma Response,MX1
Interferon Gamma Response,IFIT3
Interferon Gamma Response,IFI35
Interferon Gamma Response,IRF7
Interferon Gamma Response,IFIT2
Interferon Gamma Response,OAS2
Interferon Gamma Response,TAP1
Interferon Gamma Response,EIF2AK2
Interferon Gamma Response,RSAD2
Interferon Gamma Response,MX2
Interferon Gamma Response,IRF1
Interferon Gamma Response,OAS3
Interferon Gamma Response,TNFSF10
Interferon Gamma Response,IRF9
Interferon Gamma Response,CXCL10
Interferon Gamma Response,IFI44
Interferon Gamma Response,BST2
Interferon Gamma Response,XAF1
Interferon Gamma Response,SP110
Interferon Gamma Response,OASL
Interferon Gamma Response,PSMB8
Interferon Gamma Response,IFI44L
Interferon Gamma Response,IFITM3
Interferon Gamma Response,DDX60
Interferon Gamma Response,LGALS3BP
Interferon Gamma Response,GBP4
Interferon Gamma Response,IRF8
Interferon Gamma Response,PSMB9
Interferon Gamma Response,PML
Interferon Gamma Response,IFIH1
Interferon Gamma Response,UBE2L6
Interferon Gamma Response,IFI27
Interferon Gamma Response,ADAR
Interferon Gamma Response,LY6E
Interferon Gamma Response,STAT2
Interferon Gamma Response,CXCL9
Interferon Gamma Response,IL10RA
Interferon Gamma Response,PLA2G4A
Interferon Gamma Response,TRIM21
Interferon Gamma Response,USP18
Interferon Gamma Response,PTGS2
Interferon Gamma Response,EPSTI1
Interferon Gamma Response,C1S
Interferon Gamma Response,DDX58
Interferon Gamma Response,IL15
Interferon Gamma Response,NLRC5
Interferon Gamma Response,NMI
Interferon Gamma Response,IDO1
Interferon Gamma Response,PSMB10
Interferon Gamma Response,CXCL11
Interferon Gamma Response,ITGB7
Interferon Gamma Response,SAMHD1
Interferon Gamma Response,HERC6
Interferon Gamma Response,CMPK2
Interferon Gamma Response,SAMD9L
Interferon Gamma Response,RTP4
Interferon Gamma Response,PTPN2
Interferon Gamma Response,PARP14
Interferon Gamma Response,TNFAIP2
Interferon Gamma Response,IFITM2
Interferon Gamma Response,PLSCR1
Interferon Gamma Response,SOCS1
Interferon Gamma Response,CASP1
Interferon Gamma Response,ICAM1
Interferon Gamma Response,WARS1
Interferon Gamma Response,PSME1
Interferon Gamma Response,ISG20
Interferon Gamma Response,IRF2
Interferon Gamma Response,TRIM14
Interferon Gamma Response,FCGR1A
Interferon Gamma Response,MARCHF1
Interferon Gamma Response,SOCS3
Interferon Gamma Response,JAK2
Interferon Gamma Response,HLA-DMA
Interferon Gamma Response,PARP12
Interferon Gamma Response,TNFAIP6
Interferon Gamma Response,TRIM26
Interferon Gamma Response,VCAM1
Interferon Gamma Response,CD274
Interferon Gamma Response,CIITA
Interferon Gamma Response,NAMPT
Interferon Gamma Response,SELP
Interferon Gamma Response,GPR18
Interferon Gamma Response,FPR1
Interferon Gamma Response,HELZ2
Interferon Gamma Response,PSME2
Interferon Gamma Response,SERPING1
Interferon Gamma Response,CCL5
Interferon Gamma Response,RNF31
Interferon Gamma Response,SOD2
Interferon Gamma Response,TRIM25
Interferon Gamma Response,LAP3
Interferon Gamma Response,PSMA3
Interferon Gamma Response,RNF213
Interferon Gamma Response,PELI1
Interferon Gamma Response,CFB
Interferon Gamma Response,CD86
Interferon Gamma Response,TXNIP
Interferon Gamma Response,HLA-DQA1
Interferon Gamma Response,GCH1
Interferon Gamma Response,PNP
Interferon Gamma Response,CCL7
Interferon Gamma Response,PTPN6
Interferon Gamma Response,SPPL2A
Interferon Gamma Response,IL4R
Interferon Gamma Response,PNPT1
Interferon Gamma Response,DHX58
Interferon Gamma Response,BTG1
Interferon Gamma Response,CASP8
Interferon Gamma Response,IFI30
Interferon Gamma Response,CCL2
Interferon Gamma Response,FGL2
Interferon Gamma Response,CASP7
Interferon Gamma Response,SECTM1
Interferon Gamma Response,IL15RA
Interferon Gamma Response,CD40
Interferon Gamma Response,TRAFD1
Interferon Gamma Response,HLA-DRB1
Interferon Gamma Response,GBP6
Interferon Gamma Response,LCP2
Interferon Gamma Response,HLA-G
Interferon Gamma Response,MT2A
Interferon Gamma Response,RIPK1
Interferon Gamma Response,KLRK1
Interferon Gamma Response,UPP1
Interferon Gamma Response,PSMB2
Interferon Gamma Response,TDRD7
Interferon Gamma Response,HIF1A
Interferon Gamma Response,EIF4E3
Interferon Gamma Response,VAMP8
Interferon Gamma Response,PFKP
Interferon Gamma Response,CD38
Interferon Gamma Response,ZBP1
Interferon Gamma Response,BANK1
Interferon Gamma Response,TOR1B
Interferon Gamma Response,RBCK1
Interferon Gamma Response,PDE4B
Interferon Gamma Response,MVP
Interferon Gamma Response,IL7
Interferon Gamma Response,BPGM
Interferon Gamma Response,CMTR1
Interferon Gamma Response,AUTS2
Interferon Gamma Response,B2M
Interferon Gamma Response,RIPK2
Interferon Gamma Response,CD69
Interferon Gamma Response,MYD88
Interferon Gamma Response,PSMA2
Interferon Gamma Response,PIM1
Interferon Gamma Response,NOD1
Interferon Gamma Response,CFH
Interferon Gamma Response,TAPBP
Interferon Gamma Response,SLC25A28
Interferon Gamma Response,PTPN1
Interferon Gamma Response,TNFAIP3
Interferon Gamma Response,SSPN
Interferon Gamma Response,NUP93
Interferon Gamma Response,MTHFD2
Interferon Gamma Response,CDKN1A
Interferon Gamma Response,IRF4
Interferon Gamma Response,NFKB1
Interferon Gamma Response,BATF2
Interferon Gamma Response,HLA-B
Interferon Gamma Response,LATS2
Interferon Gamma Response,IRF5
Interferon Gamma Response,SLAMF7
Interferon Gamma Response,ISOC1
Interferon Gamma Response,P2RY14
Interferon Gamma Response,STAT3
Interferon Gamma Response,NCOA3
Interferon Gamma Response,HLA-A
Interferon Gamma Response,IL6
Interferon Gamma Response,GZMA
Interferon Gamma Response,IFNAR2
Interferon Gamma Response,CD74
Interferon Gamma Response,RAPGEF6
Interferon Gamma Response,CASP4
Interferon Gamma Response,FAS
Interferon Gamma Response,OGFR
Interferon Gamma Response,ARL4A
Interferon Gamma Response,SRI
Interferon Gamma Response,LYSMD2
Interferon Gamma Response,CSF2RB
Interferon Gamma Response,ST3GAL5
Interferon Gamma Response,C1R
Interferon Gamma Response,CASP3
Interferon Gamma Response,CMKLR1
Interferon Gamma Response,NFKBIA
Interferon Gamma Response,METTL7B
Interferon Gamma Response,ST8SIA4
Interferon Gamma Response,XCL1
Interferon Gamma Response,IL2RB
Interferon Gamma Response,VAMP5
Interferon Gamma Response,IL18BP
Interferon Gamma Response,ZNFX1
Interferon Gamma Response,ARID5B
Interferon Gamma Response,APOL6
Interferon Gamma Response,STAT4
Complement,C2
Complement,C1S
Complement,CFB
Complement,C1R
Complement,SERPINE1
Complement,MMP14
Complement,SERPING1
Complement,CTSL
Complement,F5
Complement,MMP13
Complement,F7
Complement,CTSS
Complement,LGMN
Complement,PLG
Complement,C1QA
Complement,CASP1
Complement,GZMA
Complement,ADAM9
Complement,CALM3
Complement,C1QC
Complement,TIMP1
Complement,DPP4
Complement,KLK1
Complement,KLKB1
Complement,CD59
Complement,CR2
Complement,MMP15
Complement,LAP3
Complement,SPOCK2
Complement,F10
Complement,CTSB
Complement,SERPINA1
Complement,CTSO
Complement,CD40LG
Complement,CBLB
Complement,PDP1
Complement,C4BPB
Complement,PLEK
Complement,GP9
Complement,PLAUR
Complement,C3
Complement,F2
Complement,CASP4
Complement,STX4
Complement,CTSC
Complement,USP15
Complement,CR1
Complement,DUSP6
Complement,SERPINB2
Complement,GPD2
Complement,CFH
Complement,FN1
Complement,CD36
Complement,CA2
Complement,PSMB9
Complement,APOBEC3G
Complement,FCN1
Complement,GZMK
Complement,PDGFB
Complement,CLU
Complement,CASP10
Complement,LRP1
Complement,CTSD
Complement,S100A9
Complement,WAS
Complement,BRPF3
Complement,PLAT
Complement,CDA
Complement,MT3
Complement,CASP7
Complement,PRSS36
Complement,PFN1
Complement,GZMB
Complement,RNF4
Complement,ZEB1
Complement,CASP5
Complement,IRF1
Complement,CPQ
Complement,CDK5R1
Complement,ATOX1
Complement,PIK3CA
Complement,TMPRSS6
Complement,CPM
Complement,RCE1
Complement,CALM1
Complement,DOCK9
Complement,KYNU
Complement,RASGRP1
Complement,USP14
Complement,LCP2
Complement,GP1BA
Complement,KIF2A
Complement,GNB4
Complement,LCK
Complement,OLR1
Complement,PREP
Complement,MSRB1
Complement,LTA4H
Complement,ZFPM2
Complement,LYN
Complement,ACTN2
Complement,SIRT6
Complement,APOC1
Complement,PRKCD
Complement,ITGAM
Complement,DGKH
Complement,LTF
Complement,MAFF
Complement,KCNIP2
Complement,PCLO
Complement,DOCK10
Complement,SH2B3
Complement,RABIF
Complement,SRC
Complement,HPCAL4
Complement,CD46
Complement,PRDM4
Complement,GNAI3
Complement,C9
Complement,PPP2CB
Complement,IRF2
Complement,FYN
Complement,JAK2
Complement,PLA2G4A
Complement,PRCP
Complement,USP8
Complement,RHOG
Complement,L3MBTL4
Complement,LAMP2
Complement,PIM1
Complement,CXCL1
Complement,F3
Complement,GNAI2
Complement,CASP9
Complement,XPNPEP1
Complement,PLSCR1
Complement,IRF7
Complement,CD55
Complement,HSPA5
Complement,GNB2
Complement,DYRK2
Complement,PLA2G7
Complement,S100A12
Complement,GRB2
Complement,PHEX
Complement,GNGT2
Complement,DOCK4
Complement,MMP12
Complement,KCNIP3
Complement,FDX1
