pathway,gene
IL-2/STAT5 Signaling,SLC1A5
IL-2/STAT5 Signaling,IGF2R
IL-2/STAT5 Signaling,CKAP4
IL-2/STAT5 Signaling,CCR4
IL-2/STAT5 Signaling,CD44
IL-2/STAT5 Signaling,P2RX4
IL-2/STAT5 Signaling,GATA1
IL-2/STAT5 Signaling,KLF6
IL-2/STAT5 Signaling,ARL4A
IL-2/STAT5 Signaling,HOPX
IL-2/STAT5 Signaling,GPR83
IL-2/STAT5 Signaling,ITGA6
IL-2/STAT5 Signaling,CD48
IL-2/STAT5 Signaling,DRC1
IL-2/STAT5 Signaling,SELP
IL-2/STAT5 Signaling,GLIPR2
IL-2/STAT5 Signaling,SMPDL3A
IL-2/STAT5 Signaling,PLSCR1
IL-2/STAT5 Signaling,FURIN
IL-2/STAT5 Signaling,SERPINB6
IL-2/STAT5 Signaling,TNFSF11
IL-2/STAT5 Signaling,GPX4
IL-2/STAT5 Signaling,LRRC8C
IL-2/STAT5 Signaling,CCNE1
IL-2/STAT5 Signaling,CASP3
IL-2/STAT5 Signaling,SH3BGRL2
IL-2/STAT5 Signaling,SNX9
IL-2/STAT5 Signaling,PLEC
IL-2/STAT5 Signaling,BMP2
IL-2/STAT5 Signaling,ICOS
IL-2/STAT5 Signaling,ALCAM
IL-2/STAT5 Signaling,LTB
IL-2/STAT5 Signaling,ENPP1
IL-2/STAT5 Signaling,IL1RL1
IL-2/STAT5 Signaling,MYO1C
IL-2/STAT5 Signaling,IFNGR1
IL-2/STAT5 Signaling,PLIN2
IL-2/STAT5 Signaling,IL18R1
IL-2/STAT5 Signaling,AHNAK
IL-2/STAT5 Signaling,PRKCH
IL-2/STAT5 Signaling,TNFRSF8
IL-2/STAT5 Signaling,SYNGR2
IL-2/STAT5 Signaling,GALM
IL-2/STAT5 Signaling,POU2F1
IL-2/STAT5 Signaling,EOMES
IL-2/STAT5 Signaling,NOP2
IL-2/STAT5 Signaling,PTRH2
IL-2/STAT5 Signaling,RHOH
IL-2/STAT5 Signaling,CDC6
IL-2/STAT5 Signaling,MYO1E
IL-2/STAT5 Signaling,CXCL10
IL-2/STAT5 Signaling,SNX14
IL-2/STAT5 Signaling,IRF6
IL-2/STAT5 Signaling,IL10RA
IL-2/STAT5 Signaling,MAP6
IL-2/STAT5 Signaling,TNFSF10
IL-2/STAT5 Signaling,SPRED2
IL-2/STAT5 Signaling,SELL
IL-2/STAT5 Signaling,SERPINC1
IL-2/STAT5 Signaling,CDCP1
IL-2/STAT5 Signaling,RORA
IL-2/STAT5 Signaling,COCH
IL-2/STAT5 Signaling,CSF1
IL-2/STAT5 Signaling,F2RL2
IL-2/STAT5 Signaling,UCK2
IL-2/STAT5 Signaling,CA2
IL-2/STAT5 Signaling,IFITM3
IL-2/STAT5 Signaling,UMPS
IL-2/STAT5 Signaling,HUWE1
IL-2/STAT5 Signaling,COL6A1
IL-2/STAT5 Signaling,ABCB1
IL-2/STAT5 Signaling,RNH1
IL-2/STAT5 Signaling,IRF8
IL-2/STAT5 Signaling,GUCY1B1
IL-2/STAT5 Signaling,AHCY
IL-2/STAT5 Signaling,PRAF2
IL-2/STAT5 Signaling,GSTO1
IL-2/STAT5 Signaling,TWSG1
IL-2/STAT5 Signaling,CDC42SE2
IL-2/STAT5 Signaling,PLAGL1
IL-2/STAT5 Signaling,APLP1
IL-2/STAT5 Signaling,PLPP1
IL-2/STAT5 Signaling,SPRY4
IL-2/STAT5 Signaling,SCN9A
IL-2/STAT5 Signaling,SHE
IL-2/STAT5 Signaling,PDCD2L
IL-2/STAT5 Signaling,CCND3
IL-2/STAT5 Signaling,LRIG1
IL-2/STAT5 Signaling,SWAP70
IL-2/STAT5 Signaling,SLC39A8
IL-2/STAT5 Signaling,RABGAP1L
IL-2/STAT5 Signaling,TGM2
IL-2/STAT5 Signaling,PNP
IL-2/STAT5 Signaling,AGER
IL-2/STAT5 Signaling,ETV4
IL-2/STAT5 Signaling,CD86
