source_group,dataset,condition,edge_set,metric,top_level,repeats,mean_curated_positive_fraction,sd_curated_positive_fraction,ci95_curated_positive_fraction,min_curated_positive_fraction,max_curated_positive_fraction,repeats_above_0_5,mean_delta_vs_0_5,mean_actual_top_n,complete_threshold_repeats,mean_total_pairs_ranked,mean_positive_pairs_in_evaluation,mean_negative_pairs_in_evaluation,all_repeats_above_0_5
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust,pearson,top_500,10,0.5202,0.0078570562765792,0.00486985393347,0.51,0.534,10,0.0202,500.0,10,668.0,334.0,334.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust,pearson,top_5pct,10,0.7676470588235295,0.0426216963123218,0.0264172010650395,0.7058823529411765,0.8235294117647058,10,0.2676470588235294,34.0,10,668.0,334.0,334.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust,spearman,top_100,10,0.673,0.0275075747143703,0.0170493714449145,0.63,0.72,10,0.173,100.0,10,668.0,334.0,334.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust,spearman,top_500,10,0.5254000000000001,0.0071833139984271,0.0044522641431074,0.514,0.534,10,0.0254,500.0,10,668.0,334.0,334.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust,spearman,top_5pct,10,0.7294117647058824,0.0387223875649637,0.024000384464433,0.6470588235294118,0.7941176470588235,10,0.2294117647058823,34.0,10,668.0,334.0,334.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,codetection_odds_ratio,top_100,10,0.606,0.0267498701969852,0.0165797413195207,0.57,0.66,10,0.1059999999999999,100.0,10,314.0,157.0,157.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,codetection_odds_ratio,top_500,10,0.5,0.0,0.0,0.5,0.5,0,0.0,314.0,0,314.0,157.0,157.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,codetection_odds_ratio,top_5pct,10,0.74375,0.1299372177459389,0.0805359219368737,0.5625,0.9375,10,0.24375,16.0,10,314.0,157.0,157.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,coexpression_probability,top_100,10,0.506,0.0051639777949432,0.0032006665972366,0.5,0.51,6,0.006,100.0,10,314.0,157.0,157.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,coexpression_probability,top_500,10,0.5,0.0,0.0,0.5,0.5,0,0.0,314.0,0,314.0,157.0,157.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,coexpression_probability,top_5pct,10,0.50625,0.0197642353760523,0.0122499999999999,0.5,0.5625,1,0.00625,16.0,10,314.0,157.0,157.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,mutual_information,top_100,10,0.628,0.0161932770686548,0.0100366971105483,0.59,0.64,10,0.128,100.0,10,314.0,157.0,157.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,mutual_information,top_500,10,0.5,0.0,0.0,0.5,0.5,0,0.0,314.0,0,314.0,157.0,157.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,mutual_information,top_5pct,10,0.75,0.0294627825494394,0.0182612218162482,0.6875,0.8125,10,0.25,16.0,10,314.0,157.0,157.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,pearson,top_100,10,0.641,0.0179195734076208,0.0111066666666666,0.62,0.66,10,0.141,100.0,10,314.0,157.0,157.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,pearson,top_500,10,0.5,0.0,0.0,0.5,0.5,0,0.0,314.0,0,314.0,157.0,157.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,pearson,top_5pct,10,0.81875,0.0197642353760523,0.0122499999999999,0.8125,0.875,10,0.31875,16.0,10,314.0,157.0,157.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,spearman,top_100,10,0.639,0.0128668393770791,0.007974949668946,0.62,0.66,10,0.139,100.0,10,314.0,157.0,157.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,spearman,top_500,10,0.5,0.0,0.0,0.5,0.5,0,0.0,314.0,0,314.0,157.0,157.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,spearman,top_5pct,10,0.6625,0.0437003686737563,0.0270857691212357,0.5625,0.6875,10,0.1625,16.0,10,314.0,157.0,157.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,codetection_odds_ratio,top_100,10,0.688,0.0342539535431069,0.0212308203641152,0.62,0.74,10,0.188,100.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,codetection_odds_ratio,top_500,10,0.5706,0.0079470469707655,0.0049256307435923,0.562,0.586,10,0.0705999999999999,500.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,codetection_odds_ratio,top_5pct,10,0.7208333333333333,0.0317053586449332,0.0196511848806977,0.6527777777777778,0.75,10,0.2208333333333333,72.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,coexpression_probability,top_100,10,0.508,0.0042163702135578,0.0026133333333333,0.5,0.51,8,0.008,100.0,10,1436.0,718.0,718.0,False
