source_group,dataset,condition,edge_set,positive_pairs,unique_negative_pairs_across_repeats,repeats,metric_file
hcl_adult_celltype,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,168,669,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__enterocyte/ZJU_HCL_adult_celltype_Enterocyte_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,57,227,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__enterocyte/ZJU_HCL_adult_celltype_Enterocyte_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,265,1073,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__enterocyte/ZJU_HCL_adult_celltype_Enterocyte_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Epithelial cell,trrust,310,1225,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__epithelial_cell/ZJU_HCL_adult_celltype_Epithelial cell_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,476,1857,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__epithelial_cell/ZJU_HCL_adult_celltype_Epithelial cell_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,140,562,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__epithelial_cell/ZJU_HCL_adult_celltype_Epithelial cell_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_union,646,2491,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__epithelial_cell/ZJU_HCL_adult_celltype_Epithelial cell_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Fibroblast,trrust,413,1513,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__fibroblast/ZJU_HCL_adult_celltype_Fibroblast_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Fibroblast,dorothea_ab,486,1849,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__fibroblast/ZJU_HCL_adult_celltype_Fibroblast_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Fibroblast,trrust_dorothea_intersection,186,675,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__fibroblast/ZJU_HCL_adult_celltype_Fibroblast_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Fibroblast,trrust_dorothea_union,713,2650,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__fibroblast/ZJU_HCL_adult_celltype_Fibroblast_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Loop of Henle,trrust,302,1131,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__loop_of_henle/ZJU_HCL_adult_celltype_Loop of Henle_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Loop of Henle,dorothea_ab,591,2236,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__loop_of_henle/ZJU_HCL_adult_celltype_Loop of Henle_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_intersection,141,535,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__loop_of_henle/ZJU_HCL_adult_celltype_Loop of Henle_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,752,2845,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__loop_of_henle/ZJU_HCL_adult_celltype_Loop of Henle_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,393,1492,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__smooth_muscle_cell/ZJU_HCL_adult_celltype_Smooth muscle cell_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,592,2184,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__smooth_muscle_cell/ZJU_HCL_adult_celltype_Smooth muscle cell_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust_dorothea_intersection,192,708,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__smooth_muscle_cell/ZJU_HCL_adult_celltype_Smooth muscle cell_refined_pair_metrics.csv
hcl_adult_celltype,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust_dorothea_union,793,2936,10,results/zju_cellatlas_adult_celltype_refined_matching_by_context/adult_celltype__smooth_muscle_cell/ZJU_HCL_adult_celltype_Smooth muscle cell_refined_pair_metrics.csv
