run_dir,dataset,condition,edge_set,score_definition,metric,n_repeats,n_positive_mean,n_negative_mean,random_auprc_baseline,auroc_mean,auroc_sd,auprc_mean,auprc_sd,enrichment_at_5pct_mean,enrichment_at_5pct_sd,median_difference_mean,median_difference_sd,cliffs_delta_mean,cliffs_delta_sd,positive_median_mean,negative_median_mean,auroc_ci95_low,auroc_ci95_high,auprc_ci95_low,auprc_ci95_high,enrichment_at_5pct_ci95_low,enrichment_at_5pct_ci95_high,median_difference_ci95_low,median_difference_ci95_high,cliffs_delta_ci95_low,cliffs_delta_ci95_high
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,formal_abs,codetection_odds_ratio,10,89.0,89.0,0.5,0.4576063628329757,0.0123330441495753,0.522279828731808,0.0084052138830015,1.2666666666666666,0.1499885683801228,-0.0425088167190551,0.0286504640922694,-0.0847872743340487,0.0246660882991506,1.82369863986969,1.8662074565887448,0.448783834529159,0.4664288911367923,0.5162671009345944,0.5282925565290216,1.159371308462006,1.3739620248713271,-0.0630041240662063,-0.022013509371904,-0.102432330941682,-0.0671422177264154
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,formal_abs,coexpression_probability,10,89.0,89.0,0.5,0.4774460295417245,0.0044570474233538,0.5009153282190439,0.0034921650173347,1.1555555555555554,0.0936971158568408,-0.0041971202939748,0.0014156647445304,-0.0451079409165509,0.0089140948467076,0.0339895077049732,0.0381866279989481,0.4742576498872702,0.4806344091961788,0.4984171838571676,0.5034134725809203,1.088528676659526,1.2225824344515848,-0.0052098258454883,-0.0031844147424614,-0.0514847002254594,-0.0387311816076424
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,formal_abs,mutual_information,10,89.0,89.0,0.5,0.4647771745991667,0.0102810338334611,0.5118129974603954,0.0094865215985348,1.3333333333333333,0.1047565601757848,-0.0013479898218065,0.0005522527456562,-0.0704456508016664,0.0205620676669223,0.0034242554102092,0.0047722452320158,0.4574225660460682,0.4721317831522652,0.5050267487214153,0.5185992461993756,1.2583950045677494,1.408271662098917,-0.001743047637243,-0.00095293200637,-0.0851548679078634,-0.0557364336954694
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,formal_abs,pearson,10,89.0,89.0,0.5,0.4553465471531372,0.010324272541114,0.5115645640899379,0.0109826313670266,1.3555555555555556,0.1261436027105659,-0.025314325839281,0.0072173268540515,-0.0893069056937255,0.0206485450822281,0.097400277853012,0.1227146036922931,0.4479610074919147,0.4627320868143597,0.503708062896004,0.5194210652838718,1.2653178582148148,1.4457932528962965,-0.0304772904468438,-0.0201513612317183,-0.1040779850161704,-0.0745358263712806
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,formal_abs,spearman,10,89.0,89.0,0.5,0.4677692210579472,0.0111469143462387,0.5233167363510287,0.0089906001667976,1.4,0.1829494671885699,-0.0086310572922229,0.0049177311406846,-0.0644615578841055,0.0222938286924774,0.0854142531752586,0.0940453104674816,0.4597951989003035,0.4757432432155909,0.5168852484330517,0.5297482242690057,1.2691258352063128,1.530874164793687,-0.0121489902253297,-0.0051131243591162,-0.0804096021993929,-0.0485135135688181
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,codetection_odds_ratio,10,127.0,127.0,0.5,0.4420794841589683,0.0148219938278151,0.5070223713955715,0.0130273288090531,1.3846153846153846,0.145047544858779,-0.0893548130989074,0.0423294959167961,-0.1158410316820633,0.0296439876556304,1.7404943704605105,1.8298491835594175,0.4314764685142543,0.4526824998036823,0.4977031817659004,0.5163415610252425,1.2808546217091914,1.4883761475215778,-0.1196355103284788,-0.0590741158693361,-0.1370470629714913,-0.0946350003926353
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,coexpression_probability,10,127.0,127.0,0.5,0.4851385702771406,0.0038253010220675,0.5048482189563664,0.0019191896845555,1.0461538461538462,0.0648672340547359,-0.0002959504723548,0.0006718510301043,-0.0297228594457188,0.007650602044135,0.026814941316843,0.0271108917891979,0.4824021147736571,0.487875025780624,0.5034753133616867,0.5062211245510462,0.9997506223027488,1.0925570700049434,-0.0007765637465113,0.0001846628018016,-0.0351957704526857,-0.024249948438752
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,mutual_information,10,127.0,127.0,0.5,0.4507719015438031,0.011806687880268,0.4869988144497285,0.0096453510013294,0.7846153846153847,0.048650425541052,-0.0007243436994031,0.000144004435822,-0.0984561969123938,0.023613375760536,0.0023716758005321,0.0030960194999352,0.4423259058322268,0.4592178972553793,0.4800989460005909,0.4938986828988661,0.7498129667270618,0.8194178025037077,-0.0008273582670562,-0.0006213291317499,-0.1153481883355463,-0.0815642054892412
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,pearson,10,127.0,127.0,0.5,0.4410688821377643,0.0095498082537752,0.484752802217587,0.0087132619950659,0.9076923076923076,0.0873301864919302,-0.0152147680521011,0.0031470033800708,-0.1178622357244714,0.0190996165075505,0.0860086530447006,0.1012234210968017,0.4342373608529032,0.4479004034226253,0.4785197100760424,0.4909858943591315,0.8452200556871793,0.970164559697436,-0.0174659986530908,-0.0129635374511113,-0.1315252782941935,-0.1041991931547493
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,spearman,10,127.0,127.0,0.5,0.451261702523405,0.0128678166778787,0.4906446041292608,0.012173342267002,0.9846153846153848,0.0794458122298956,-0.0070721589028835,0.0020677913793551,-0.0974765949531898,0.0257356333557575,0.0742650404572486,0.0813371993601322,0.4420566209983527,0.4604667840484573,0.4819363196700365,0.4993528885884851,0.9277832741877174,1.041447495043052,-0.0085513677461744,-0.0055929500595926,-0.1158867580032944,-0.0790664319030853
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,48.0,48.0,0.5,0.4426649305555555,0.0152211863328665,0.519368372224094,0.0105764533128841,1.24,0.1264911064067352,-0.1098393321037292,0.0511383885579082,-0.1146701388888888,0.0304423726657331,1.643537163734436,1.7533764958381652,0.4317763497955486,0.4535535113155625,0.5118024333062374,0.5269343111419507,1.1495137134903604,1.3304862865096396,-0.1464215315179148,-0.0732571326895436,-0.1364473004089028,-0.0928929773688748
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,48.0,48.0,0.5,0.4695746527777777,0.0045103169479515,0.5034887246912462,0.0020846480444336,0.8,0.0,-0.0024169314652681,0.0007518808293719,-0.0608506944444444,0.0090206338959031,0.0278687058016657,0.0302856372669339,0.4663481664010256,0.4728011391545298,0.5019974573161801,0.5049799920663123,0.8,0.8,-0.0029547946090127,-0.0018790683215235,-0.0673036671979485,-0.0543977216909402
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,formal_abs,mutual_information,10,48.0,48.0,0.5,0.4778645833333333,0.0130127932996347,0.5217127240005949,0.0123753279098633,0.96,0.2065591117977288,-0.0010086175054311,0.0004507716850069,-0.0442708333333333,0.0260255865992694,0.0024723201058804,0.0034809376113116,0.4685557917807063,0.4871733748859604,0.5128599477168465,0.5305655002843432,0.8122365128880652,1.1077634871119348,-0.0013310801433087,-0.0006861548675535,-0.0628884164385875,-0.0256532502280791
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,formal_abs,pearson,10,48.0,48.0,0.5,0.4651475694444444,0.0123645873148662,0.5152058777476194,0.014451417540409,0.96,0.2065591117977288,-0.0158798478543758,0.00622901020258,-0.0697048611111111,0.0247291746297323,0.0910794697701931,0.1069593176245689,0.4563024765195013,0.4739926623693876,0.5048679564092836,0.5255437990859552,0.8122365128880652,1.1077634871119348,-0.0203358133200405,-0.0114238823887111,-0.0873950469609973,-0.0520146752612249
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,formal_abs,spearman,10,48.0,48.0,0.5,0.4822916666666667,0.0160906689037965,0.5293418066710249,0.0134693804044859,1.28,0.2529822128134704,-0.0082401938736438,0.0053406044376501,-0.0354166666666666,0.032181337807593,0.076382502913475,0.0846226967871189,0.4707810955449395,0.4938022377883938,0.5197063923797737,0.5389772209622762,1.0990274269807208,1.4609725730192793,-0.0120606321400778,-0.0044197556072098,-0.0584378089101209,-0.0123955244232123
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,formal_abs,codetection_odds_ratio,10,168.0,168.0,0.5,0.4514048327664398,0.0086191921467547,0.5089429388815466,0.0077816758114806,1.2941176470588236,0.0,-0.0634815394878387,0.0236495340424251,-0.0971903344671201,0.0172383842935094,1.8091800212860107,1.8726615607738493,0.4452390341405267,0.457570631392353,0.5033762633499198,0.5145096144131734,1.2941176470588236,1.2941176470588236,-0.080399396987648,-0.0465636819880294,-0.1095219317189465,-0.0848587372152938
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,formal_abs,coexpression_probability,10,168.0,168.0,0.5,0.4853582057823128,0.0026485753562864,0.5026095054783251,0.0010704430407083,1.0588235294117647,0.0554593553871802,-0.0004954935982823,0.0008936669166548,-0.0292835884353741,0.0052971507125729,0.031074839644134,0.0315703332424163,0.4834635291102575,0.4872528824543682,0.5018437566567254,0.5033752542999247,1.0191502965358674,1.098496762287662,-0.0011347843987327,0.000143797202168,-0.0330729417794848,-0.0254942350912634
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,formal_abs,mutual_information,10,168.0,168.0,0.5,0.4525882227891157,0.0066933453682287,0.4934246780315627,0.0037884124123478,1.0941176470588236,0.0568289284164292,-0.0008311694022268,0.0001918831233241,-0.0948235544217687,0.0133866907364574,0.0027284077368676,0.0035595771390944,0.4478000919560276,0.4573763536222037,0.4907146110497932,0.4961347450133322,1.0534646806582466,1.134770613459401,-0.0009684343196324,-0.0006939044848211,-0.1043998160879449,-0.0852472927555925
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,formal_abs,pearson,10,168.0,168.0,0.5,0.4428411989795918,0.0076024782453594,0.488374659756618,0.0056860283278972,1.1176470588235294,0.062005444317027,-0.0139285828918218,0.0037733174793125,-0.1143176020408163,0.0152049564907188,0.0931937508285045,0.1071223337203264,0.4374027136644198,0.4482796842947639,0.4843071201248147,0.4924421993884212,1.0732910360246866,1.1620030816223723,-0.0166278516089996,-0.011229314174644,-0.1251945726711604,-0.1034406314104722
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,formal_abs,spearman,10,168.0,168.0,0.5,0.453172831632653,0.0071977431865816,0.4992482156888925,0.0053388476951246,1.2,0.0928012514996018,-0.0076532643288373,0.0034321704013459,-0.0936543367346938,0.0143954863731632,0.0784341916441917,0.0860874559730291,0.4480238763368588,0.4583217869284473,0.4954290341203561,0.503067397257429,1.1336139838587185,1.2663860161412817,-0.0101084911278462,-0.0051980375298285,-0.1039522473262823,-0.0833564261431053
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,formal_abs,codetection_odds_ratio,10,766.0,766.0,0.5,0.6048517612090887,0.0055575617385746,0.5857932700711632,0.0044434634114081,1.2675324675324675,0.0544835765283195,0.1021621823310852,0.0101121408542506,0.2097035224181772,0.0111151234771492,1.402148962020874,1.2999867796897888,0.6008761210391416,0.6088274013790358,0.5826146078334649,0.5889719323088616,1.2285572648019387,1.3065076702629963,0.0949283925370318,0.1093959721251385,0.2017522420782829,0.2176548027580714
