run_dir,dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,3,168,168,0,0,0.0,0,0,0.0086845171045405,-5.401936710873397e-05
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,4,168,168,0,0,0.0,0,0,0.0181587840942149,0.0028540315961149
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,5,168,168,0,0,0.0,0,0,0.0119366899106945,0.0007506157642107
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,6,168,168,0,0,0.0,0,0,0.0117542956301506,0.0021402471848925
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,7,168,168,0,0,0.0,0,0,0.0092353169351209,0.0005316351109558
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,8,168,168,0,0,0.0,0,0,0.0101268372272312,0.0023356313419035
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,9,168,168,0,0,0.0,0,0,0.0110312176403167,0.0002971525069399
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,0,446,446,0,0,0.0,0,0,0.0104026200298637,-0.0050840331933029
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,1,446,446,0,0,0.0,0,0,0.0073076965870312,-0.0028867321722736
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,2,446,446,0,0,0.0,0,0,0.0080169562958714,-0.003437661563541
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,3,446,446,0,0,0.0,0,0,0.0094281499499218,-0.0027676277541559
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,4,446,446,0,0,0.0,0,0,0.0090885270687372,-0.0042219883161915
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,5,446,446,0,0,0.0,0,0,0.0087532845117306,-0.0037490448004873
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,6,446,446,0,0,0.0,0,0,0.0088500349514194,-0.0051412792151397
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,7,446,446,0,0,0.0,0,0,0.0071405813695579,-0.0005111377288815
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,8,446,446,0,0,0.0,0,0,0.0081784950590837,-0.0063217412925744
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,9,446,446,0,0,0.0,0,0,0.0090393898867783,-0.0045180696472305
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,0,766,766,0,0,0.0,0,0,0.0060070382100997,-0.000653473337469
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,1,766,766,0,0,0.0,0,0,0.005930124095217,-0.002800556373106
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,2,766,766,0,0,0.0,0,0,0.0060657268638105,-0.0018637596204225
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,3,766,766,0,0,0.0,0,0,0.0056764837096035,-0.0030000509127747
