collection,pathway,msigdb_name,gene
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,GBE1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,GHITM
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,GPAM
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,GPAT4
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,GPD2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,GPHN
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,GPX3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,GPX4
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,GRPEL1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,HADH
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,HIBCH
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,HSPB8
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,IDH1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,IDH3A
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,IDH3G
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,IFNGR1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,IMMT
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ITGA7
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ITIH5
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ITSN1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,JAGN1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,LAMA4
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,LEP
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,LIFR
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,LIPE
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,LPCAT3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,LPL
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,LTC4S
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MAP4K3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MCCC1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MDH2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ME1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MGLL
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MGST3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MIGA2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MRAP
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MRPL15
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MTARC2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MTCH2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,MYLK
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,NABP1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,NDUFA5
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,NDUFAB1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,NDUFB7
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,NDUFS3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,NKIRAS1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,NMT1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,OMD
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ORM1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PDCD4
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PEMT
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PEX14
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PFKFB3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PFKL
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PGM1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PHLDB1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PHYH
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PIM3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PLIN2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,POR
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PPARG
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PPM1B
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PPP1R15B
