source_group,pathway,top_level,combinations,combinations_fdr_in_at_least_5_repeats,median_fold_enrichment,best_bh_fdr
hcl_adult_celltype,Uv Response Dn,top_500,140,24,1.7039324421965318,0.0001943219032332
hcl_adult_celltype,Cholesterol Homeostasis,top_500,140,23,1.899691402711476,0.0007410833574407
hcl_adult_celltype,Unfolded Protein Response,top_500,140,23,1.7180782989527472,2.351457472081431e-06
hcl_adult_celltype,Pi3K Akt Mtor Signaling,top_500,140,22,1.5296296296296297,1.487484982006323e-05
hcl_adult_celltype,Reactive Oxygen Species Pathway,top_500,140,21,1.8135332316083912,0.0008819412259087
hcl_adult_celltype,Myc Targets V2,top_500,135,17,1.6980337078651684,0.0003167787630596
hcl_adult_celltype,Interferon Alpha Response,top_500,140,10,1.7432330806047591,0.0105265132447105
hcl_adult_celltype,Epithelial Mesenchymal Transition,top_500,140,10,1.4678649237472765,0.0025494626990382
hcl_adult_celltype,Kras Signaling Up,top_500,140,9,1.398439241917503,0.0028852566930835
hcl_adult_celltype,Apical Junction,top_500,140,9,1.035978716744914,0.0007961782223794
hcl_adult_celltype,Estrogen Response Early,top_500,140,8,1.3436570161343029,0.0017909089130352
hcl_adult_celltype,Fatty Acid Metabolism,top_500,140,7,1.2903093331153972,0.003937460779011
hcl_adult_celltype,Wnt Beta Catenin Signaling,top_500,140,5,2.217391304347826,0.006770807904909
hcl_adult_celltype,Myogenesis,top_500,140,5,1.490042701863354,6.037022386324303e-05
hcl_adult_celltype,Apical Surface,top_500,140,4,2.275173611111111,0.027299163018944
hcl_adult_celltype,Estrogen Response Late,top_500,140,3,1.2763975155279503,0.0026146000180619
hcl_adult_celltype,Adipogenesis,top_500,140,2,1.100102634990284,0.0019060726830826
hcl_adult_celltype,Heme Metabolism,top_500,140,1,1.5102560441500958,0.0102861925349131
hcl_adult_celltype,Hedgehog Signaling,top_500,140,0,2.272222222222222,0.0906819019695462
hcl_adult_celltype,Angiogenesis,top_500,140,0,2.134920634920635,0.0740486217464584
hcl_adult_celltype,Mitotic Spindle,top_500,140,0,1.1416666666666666,0.0133566842800954
hcl_adult_celltype,Protein Secretion,top_500,140,0,1.112364479534385,0.0591231627069634
hcl_adult_celltype,Coagulation,top_500,140,0,1.0921545333586251,0.0491213760046761
hcl_adult_celltype,Xenobiotic Metabolism,top_500,140,0,1.0535251204017333,0.0270735150785716
hcl_adult_celltype,Peroxisome,top_500,140,0,0.9760221420128334,0.0434469659993702
hcl_adult_celltype,Androgen Response,top_500,140,0,0.936842105263158,0.044570869818892
hcl_adult_celltype,Bile Acid Metabolism,top_500,140,0,0.9007430238781318,0.1057536400380394
hcl_adult_celltype,Oxidative Phosphorylation,top_500,140,0,0.788978494623656,0.1169615739001009
hcl_adult_celltype,Dna Repair,top_500,140,0,0.3419949767605435,0.169723383623924
hcl_adult_celltype,Kras Signaling Dn,top_500,135,0,0.0,0.1383553086585012
hcl_adult_celltype,Notch Signaling,top_500,135,0,0.0,0.3319609806757909
hcl_adult_celltype,Pancreas Beta Cells,top_500,130,0,0.0,0.1799246942112326
hcl_adult_celltype,Spermatogenesis,top_500,120,0,0.0,0.1957975761747215
hcl_adult_celltype,Tnfa Signaling Via Nfkb,top_5pct,140,92,4.103875951634572,4.7102251556322855e-15
hcl_adult_celltype,Hypoxia,top_5pct,140,82,4.452390963511537,1.0089136691426456e-08
hcl_adult_celltype,Apoptosis,top_5pct,140,62,3.9623917344715673,3.073128698096557e-06
hcl_adult_celltype,Inflammatory Response,top_5pct,140,47,4.507371794871795,2.21415697654126e-09
hcl_adult_celltype,P53 Pathway,top_5pct,140,42,3.981124972434232,5.240428167530196e-06
hcl_adult_celltype,Mtorc1 Signaling,top_5pct,140,34,2.660607954748168,5.274166090122718e-07
hcl_adult_celltype,Uv Response Up,top_5pct,140,18,3.142760582010582,0.0001988976422656
hcl_adult_celltype,Interferon Gamma Response,top_5pct,140,17,2.543816757054876,0.0008894680254087
hcl_adult_celltype,Pi3K Akt Mtor Signaling,top_5pct,140,15,2.582846003898635,0.0005211138590464
hcl_adult_celltype,Unfolded Protein Response,top_5pct,140,13,3.696879713423831,0.0007965225004041
hcl_adult_celltype,Uv Response Dn,top_5pct,140,12,3.62727205634278,0.0015417469084483
hcl_adult_celltype,Cholesterol Homeostasis,top_5pct,140,11,2.7013928799489144,0.0070532087675696
hcl_adult_celltype,G2M Checkpoint,top_5pct,140,9,2.8485593025707043,0.0011176575313833
hcl_adult_celltype,Myogenesis,top_5pct,140,8,2.704186091686092,0.0006189620522414
hcl_adult_celltype,Il2 Stat5 Signaling,top_5pct,140,8,2.649881712215678,0.0001177217876887
