dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
PBMC10k,all,trrust,1,1865,SMARCA4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,437,EP300,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,786,HSF2,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,620,HDAC1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,307,CREM,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,765,HOPX,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1950,SP1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1219,NFKB1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,184,CEBPA,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2187,SRF,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2587,VDR,TPT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1316,NFKB1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2137,SPI1,CTSS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2302,STAT3,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1178,NFAT5,LTB,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1698,RFX1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,210,CEBPD,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1431,PARP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,236,CIITA,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,43,ARNT,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,331,CTNNB1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,16,AHR,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1736,RFXAP,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,621,HDAC1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,299,CREBBP,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1479,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1948,SP1,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,737,HIF1A,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,173,CEBPA,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1526,RB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1660,RELA,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2527,USF1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,540,FOS,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2383,TCF4,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2384,TCF4,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1542,RBMX,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2339,STAT6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,256,CREB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,746,HIPK2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1171,NF1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2360,TBP,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,196,CEBPB,GNLY,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2654,YY1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1984,SP1,LYZ,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2557,USF2,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,204,CEBPB,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2271,STAT3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,407,ELK1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1589,RELA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,415,ELK4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1712,RFX5,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,762,HMGN1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1724,RFXANK,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2545,USF1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2076,SP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2323,STAT4,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,698,HDGF,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1372,NFYB,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1799,SFPQ,NEAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,800,ILF3,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1164,NCOA6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2691,ZBTB7A,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,713,HIF1A,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1245,NFKB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1356,NFKBIA,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2494,TP53,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1380,NFYC,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2708,ZNF148,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,2698,ZEB2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,1,1501,PPARD,SAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1724,RFXANK,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,331,CTNNB1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,228,CIITA,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,737,HIF1A,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,786,HSF2,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1589,RELA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,204,CEBPB,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,210,CEBPD,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,762,HMGN1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1219,NFKB1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2302,STAT3,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1316,NFKB1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2383,TCF4,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,299,CREBBP,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1431,PARP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,620,HDAC1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2384,TCF4,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2545,USF1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,437,EP300,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,621,HDAC1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2360,TBP,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1712,RFX5,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,698,HDGF,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1799,SFPQ,NEAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,800,ILF3,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,415,ELK4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1660,RELA,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2708,ZNF148,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2187,SRF,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1501,PPARD,SAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1356,NFKBIA,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1948,SP1,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2323,STAT4,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1542,RBMX,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,43,ARNT,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1245,NFKB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2339,STAT6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1171,NF1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1178,NFAT5,LTB,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1984,SP1,LYZ,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1380,NFYC,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,407,ELK1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2557,USF2,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2494,TP53,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1865,SMARCA4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,540,FOS,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,236,CIITA,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1950,SP1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2691,ZBTB7A,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1372,NFYB,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2654,YY1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1164,NCOA6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2587,VDR,TPT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2698,ZEB2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2076,SP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,713,HIF1A,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1526,RB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2137,SPI1,CTSS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1698,RFX1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,307,CREM,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,184,CEBPA,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,746,HIPK2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2527,USF1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,196,CEBPB,GNLY,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,256,CREB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,173,CEBPA,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,2271,STAT3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,765,HOPX,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,16,AHR,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1479,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,2,1736,RFXAP,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,3,698,HDGF,VIM,all_caliper_candidates_excluded,False
