tf,target,mode,weight,confidence,tf_detection_rate,tf_mean_counts,target_detection_rate,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
ATF1,LDHA,Activation,1.0,A,0.0693341478313992,0.073915699450214,0.5106902871105263,1.012217470983455,0.3822689035675987,4.056059268434799,0
ATF1,MAP1LC3B,Activation,1.0,A,0.0693341478313992,0.073915699450214,0.3578191814294282,0.5169517409895935,0.16440962947103682,2.7093387439262178,1
ATF1,PLAUR,Activation,1.0,A,0.0693341478313992,0.073915699450214,0.4045510079413323,1.4934331093463264,0.5939477727252692,3.12102353963014,2
ATF4,CEBPB,Activation,1.0,A,0.1478313989004288,0.1815821624923655,0.4401343921807887,1.1843310934636084,0.4579788640692483,3.434495949430838,3
ATF4,DDIT3,Activation,1.0,A,0.1478313989004288,0.1815821624923655,0.0960598656078198,0.1098045204642645,-0.01468775712823458,0.40336573792426694,4
ATF4,DDIT4,Activation,1.0,A,0.1478313989004288,0.1815821624923655,0.2170128283445347,0.387141111789852,0.10730806210067957,1.4689028562169633,5
ATF4,MCL1,Activation,1.0,A,0.1478313989004288,0.1815821624923655,0.2527489309712909,0.3394929749541783,0.08634842796002909,1.783720641167074,6
BACH1,HMOX1,Repression,-1.0,A,0.0613927916921199,0.0681124007330484,0.1916615760537586,0.3500305436774552,0.09098373166421267,1.2455705814232922,7
CEBPB,ADM,Activation,1.0,A,0.4401343921807887,1.1843310934636084,0.083995113011607,0.1140806353084917,-0.012806764320740275,0.2970811011248685,8
CEBPB,CDKN1A,Activation,1.0,A,0.4401343921807887,1.1843310934636084,0.1423335369578509,0.1905925473427015,0.020849571270497875,0.811014408180185,9
CEBPB,IL1B,Activation,1.0,A,0.4401343921807887,1.1843310934636084,0.1805131337813089,0.8982895540622984,0.33215388091080345,1.1473581955200514,10
CEBPB,MAD1L1,Activation,0.5,B,0.4401343921807887,1.1843310934636084,0.0626145387904705,0.0700977397678682,-0.03215411891211067,0.10872858021454318,11
CEBPB,TNFAIP6,Activation,1.0,A,0.4401343921807887,1.1843310934636084,0.0565058032987173,0.1247709224190594,-0.008104282302004641,0.054913574240165214,13
CEBPB,TOP1,Activation,1.0,A,0.4401343921807887,1.1843310934636084,0.1125534514355536,0.1299633475870504,-0.0058202196071897696,0.5486662540550887,14
CEBPB,XBP1,Activation,1.0,A,0.4401343921807887,1.1843310934636084,0.2261759315821646,0.3171960904092811,0.07654039403523813,1.549625365178531,15
CEBPD,GAPDH,Activation,1.0,A,0.06857055589493,0.0917837507635923,0.8165852168600163,5.542913866829614,2.375247961422434,6.750845692601319,16
CREB1,CCL5,Activation,1.0,A,0.0575748320097741,0.0642944410507026,0.1490531459987795,0.8124618204031687,0.2943996681318115,0.8702109147520015,17
CREB1,CXCR4,Activation,1.0,A,0.0575748320097741,0.0642944410507026,0.6585216860109289,2.05650580329864,0.8416342184835232,5.3583824130145254,18
CREB1,FOS,Activation,1.0,A,0.0575748320097741,0.0642944410507026,0.1464569334147843,0.2357971899816755,0.040734352378295154,0.84733953721289,19
CREB1,HLA-DQB1,Activation,1.0,A,0.0575748320097741,0.0642944410507026,0.2906230910201544,0.8190287110567896,0.2972883356576003,2.117373678208161,20
CREB1,HMOX1,Activation,1.0,A,0.0575748320097741,0.0642944410507026,0.1916615760537586,0.3500305436774552,0.09098373166421267,1.2455705814232922,21
CREB1,JUN,Repression,-1.0,A,0.0575748320097741,0.0642944410507026,0.2136530238240704,0.3384239462431233,0.08587817975815629,1.439304602931055,22
CREB1,ODC1,Activation,1.0,A,0.0575748320097741,0.0642944410507026,0.0652107513744657,0.0742211362248016,-0.030340304419169715,0.13159995775365457,23
CREB1,POLD2,Activation,1.0,A,0.0575748320097741,0.0642944410507026,0.0638362858888212,0.0743738546120954,-0.030273126104616358,0.11949158140941928,24
CREB1,PPP2CA,Activation,1.0,A,0.0575748320097741,0.0642944410507026,0.1931887599266969,0.2322846670739177,0.039189251143567805,1.2590243329168866,25
CREB1,PSEN1,Activation,1.0,A,0.0575748320097741,0.0642944410507026,0.0572693952351864,0.0635308491142334,-0.03504278643790557,0.06164044998696199,26
