tf,target,mode,weight,confidence,tf_detection_rate,tf_mean_counts,target_detection_rate,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AHR,MYC,Activation,1.0,A,0.381386861313868,2.559306569343065,0.1149635036496349,0.572080291970803,0.12899154880766409,0.41053535021080867,1
ARNT,BHLHE40,Activation,1.0,A,0.0501824817518247,0.1377737226277372,0.1697080291970807,0.7618613138686139,0.24042735198663145,0.8778173536680984,2
ATF1,BCL2,Activation,1.0,A,0.1131386861313867,0.4297445255474456,0.094890510948905,0.354014598540146,0.0009475249626010331,0.23919861560980438,4
ATF1,LDHA,Activation,1.0,A,0.1131386861313867,0.4297445255474456,0.4443430656934291,2.7208029197080243,1.3906805703772152,3.222015404345462,5
ATF1,MAP1LC3B,Activation,1.0,A,0.1131386861313867,0.4297445255474456,0.418795620437955,2.0875912408759145,1.0188707270781658,3.0039504693987316,6
ATF1,PLAUR,Activation,1.0,A,0.1131386861313867,0.4297445255474456,0.115875912408759,0.6879562043795625,0.19703167863328355,0.4183233836017636,7
ATF1,SLC20A1,Activation,1.0,A,0.1131386861313867,0.4297445255474456,0.1259124087591239,0.3895985401459857,0.02184173805865752,0.5039917509022653,8
ATF2,ATF3,Activation,1.0,A,0.094890510948905,0.2427007299270076,0.1386861313868613,0.8193430656934314,0.2741795423725686,0.6130242183756334,9
ATF2,DUSP1,Activation,1.0,A,0.094890510948905,0.2427007299270076,0.1715328467153289,1.023722627737227,0.3941873304114561,0.8933934204500081,11
ATF2,DUSP10,Activation,0.5,B,0.094890510948905,0.2427007299270076,0.0793795620437955,0.176094890510949,-0.10352354051768045,0.10680204796357352,12
ATF2,IMPDH2,Activation,1.0,A,0.094890510948905,0.2427007299270076,0.1487226277372264,0.3777372262773729,0.014877000359972262,0.6986925856761367,13
ATF2,JUN,Activation,1.0,A,0.094890510948905,0.2427007299270076,0.1350364963503649,0.5656934306569349,0.12524130543144915,0.581872084811814,14
