tf,target,mode,pearson,spearman,mutual_information,coexpression_probability,codetection_odds_ratio
ATF1,CCNA1,Unknown,-0.029951466247439384,-0.027558371424674988,0.0002971132,0.0021473628003150225,0.6192747354507446
ATF1,LDHA,Unknown,0.06232021749019623,0.055911581963300705,0.0016323065,0.03019728884100914,1.510901927947998
ATF1,MAP1LC3B,Unknown,-0.019880034029483795,-0.01363393384963274,8.750901e-05,0.01838679425418377,0.8936160802841187
ATF1,PLAUR,Unknown,-0.04608547315001488,-0.03286207839846611,0.00065811566,0.012078915722668171,0.7268487215042114
ATF3,CCL5,Unknown,-0.08057262003421783,-0.05722595006227493,0.0067668096,0.014092068187892437,0.6601033210754395
ATF3,DDIT3,Unknown,0.0550650879740715,0.07758964598178864,0.0030994988,0.020534155890345573,2.027280569076538
ATF4,ATF3,Unknown,-0.005187889561057091,0.011220917105674744,0.00017346822,0.014897328801453114,1.198962688446045
ATF4,CEBPB,Unknown,0.011411450803279877,0.02545982412993908,0.0009973517,0.038249898701906204,1.2660331726074219
ATF4,DDIT3,Unknown,0.026358185335993767,0.025807129219174385,0.0003226352,0.014763118699193,1.283499002456665
ATF4,DDIT4,Unknown,0.09935584664344788,0.08165185153484344,0.0025507337,0.02670782431960106,1.7532575130462646
ATF4,MCL1,Unknown,0.026374576613307,0.02937883324921131,0.000594483,0.05099986493587494,1.237727403640747
BACH1,HMOX1,Unknown,0.12004190683364868,0.14901968836784363,0.009792806,0.024157831445336342,3.6553680896759033
CEBPB,ADM,Unknown,0.14978931844234467,0.15842777490615845,0.0154390335,0.05287880823016167,3.148512601852417
CEBPB,CDKN1A,Unknown,0.086259625852108,0.10121604055166245,0.009288596,0.054757751524448395,2.1260106563568115
CEBPB,S100A9,Unknown,0.1926136314868927,0.20518697798252106,0.03211941,0.10736814141273499,3.129258155822754
CEBPB,TNFAIP6,Unknown,0.1864972710609436,0.20320016145706177,0.025451878,0.08455240726470947,3.309095859527588
CEBPB,TOP1,Unknown,0.037512268871068954,0.054086487740278244,0.0090252375,0.05395248904824257,1.5790421962738037
CEBPB,XBP1,Unknown,-0.05319412052631378,-0.04626520350575447,0.017986797,0.07757347822189331,0.8871968388557434
CEBPD,GAPDH,Unknown,0.16617918014526367,0.17376403510570526,0.022716556,0.10240235924720764,5.23342227935791
CREB1,CCL5,Unknown,-0.0027776965871453285,0.0011630135122686625,0.0003829538,0.010065763257443905,1.0767439603805542
CREB1,CXCR4,Unknown,0.011464379727840424,-0.006406127475202084,0.0009440983,0.028184136375784874,1.0018470287322998
CREB1,HLA-DQB1,Unknown,0.014403061009943485,0.030301585793495178,0.000519736,0.016105221584439278,1.3719898462295532
CREB1,HMOX1,Unknown,-0.00021433069196064025,0.021185753867030144,0.00037556895,0.012213125824928284,1.328505516052246
CREB1,JUN,Unknown,0.003514190437272191,0.010119675658643246,0.0008165649,0.009126291610300541,1.17392098903656
CREB1,POLD2,Unknown,0.022065544500947,0.021609097719192505,0.00022206912,0.0045631458051502705,1.4405707120895386
CREB1,PPP2CA,Unknown,-0.004821011796593666,0.005993449129164219,0.0007357119,0.010736813768744469,1.1476671695709229
CREB1,PSEN1,Unknown,0.001537075499072671,0.012952549383044243,0.00011017024,0.004428935702890158,1.2980318069458008
CREB1,UXT,Unknown,0.0109731899574399,0.011628820560872555,0.00026022975,0.016105221584439278,1.198035717010498
CREM,CD247,Unknown,0.01735798642039299,0.02182604745030403,0.0039783474,0.06106562912464142,0.977680504322052
CREM,DUSP1,Unknown,-0.05734516307711601,-0.06787043809890747,0.019373152,0.09434974938631058,0.9595884680747986
HBP1,MIF,Unknown,-0.027677519246935844,-0.02708047442138195,0.0003218496,0.010199973359704018,0.766819179058075
HBP1,NCF1,Unknown,0.07621705532073975,0.10072414577007294,0.0186559,0.05542880296707153,2.0602805614471436
HIF1A,ALDOA,Unknown,-0.028679920360445976,-0.012570342049002647,0.010844108,0.04871829226613045,1.0504645109176636
HIF1A,BAX,Unknown,-0.028602559119462967,-0.016973236575722694,0.005917759,0.035834114998579025,0.9792742133140564
HIF1A,CXCR4,Unknown,0.04168146848678589,0.02291385643184185,0.0064963023,0.07636559009552002,1.1197819709777832
HIF1A,ENO1,Unknown,0.023099292069673538,0.01789647713303566,0.007481717,0.07676821947097778,1.1266636848449707
HIF1A,FAM162A,Unknown,0.015418891794979572,0.025206323713064194,0.0003539446,0.015165749937295914,1.2959883213043213
HIF1A,GAPDH,Unknown,-0.05752694979310036,-0.033994343131780624,0.008384306,0.09421554207801819,0.8720349073410034
HIF1A,ITGB2,Unknown,-0.016602154821157455,-0.003243581159040332,0.0021628118,0.012347335927188396,1.0380154848098755
HIF1A,LDHA,Unknown,0.030247287824749947,0.0272624883800745,0.011088197,0.06482351571321487,1.22438383102417
HIF1A,MIF,Unknown,-0.005599235650151968,-0.008196286857128143,5.1580773e-05,0.008992081508040428,0.9089169502258301
HIF1A,NR3C1,Unknown,0.03027275949716568,0.027632348239421844,0.0041434187,0.03314991295337677,1.2046256065368652
HIF1A,PFKFB3,Unknown,-0.004371793009340763,0.005501749459654093,0.0010268628,0.01248154602944851,1.1242516040802002
HIF1A,PGK1,Unknown,0.04389484226703644,0.043210290372371674,0.011362821,0.06683666259050369,1.289857268333435
HIF1A,RORA,Unknown,0.029089048504829407,0.02537076734006405,0.00064185733,0.01154207531362772,1.2745810747146606
HIF1A,SOCS1,Unknown,0.03482521325349808,0.029440607875585556,0.0069200764,0.06871560961008072,1.2116883993148804
HIF1A,TLR2,Unknown,-0.015366336330771446,0.003935462795197964,0.0031965864,0.015702590346336365,1.1713595390319824
HSF1,HSPA1A,Unknown,-0.06017008051276207,-0.034717489033937454,0.00094010023,0.019728895276784897,0.7977281212806702
HSF1,HSPA1B,Unknown,-0.0036843731068074703,0.012329837307333946,0.000111483125,0.005234196782112122,1.2725368738174438
HSF1,HSPA4,Unknown,0.008724058978259563,0.01760762929916382,0.00021220454,0.005099986679852009,1.4008458852767944
HSF1,STIP1,Unknown,0.0025331799406558275,0.015186645090579987,0.00017466913,0.008186820894479752,1.2746914625167847
HSF1,UBB,Unknown,0.023355649784207344,0.019174573943018913,0.00038889697,0.05099986493587494,1.2809631824493408
IRF1,CASP7,Unknown,0.025351524353027344,0.029925251379609108,0.0039070714,0.03784726932644844,1.41120183467865
IRF1,CCL5,Unknown,0.01000348199158907,0.011174602434039116,0.00747136,0.059455107897520065,1.0361732244491577
IRF1,CD40,Unknown,0.03270585834980011,0.04190877825021744,0.023162197,0.08347872644662857,1.573333978652954
