dataset,condition,edge_set,caliper_z,original_positive_edges,matched_positive_edges_common,matching_coverage,unmatched_positive_edges,unmatched_reasons,repeats,per_repeat_positive_edges,per_repeat_negative_min,per_repeat_negative_max,internal_duplicate_total,internal_duplicate_max,failed_matches_total_final,relaxed_fraction_max,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts_mean,smd_target_mean_counts_max_abs,smd_target_detection_rate_mean,smd_target_detection_rate_max_abs
PBMC10k,all,trrust,0.25,2722,2651,0.9739162380602499,71,all_caliper_candidates_excluded:71,10,2651,2651,2651,0,0,0,0.0,0,0,0.006642564813087464,0.007359718233082179,-0.0010348236696220922,0.0015852612572932589
PBMC10k,all,dorothea_ab,0.25,5367,5283,0.9843487982112912,84,all_caliper_candidates_excluded:80; caliper_candidates_exhausted_by_unique_constraint:4,10,5283,5283,5283,0,0,0,0.0,0,0,0.004000181287374948,0.004343618216706461,-0.0005073440080084213,0.0008552347985986953
PBMC10k,all,trrust_dorothea_intersection,0.25,1111,1079,0.9711971197119712,32,all_caliper_candidates_excluded:32,10,1079,1079,1079,0,0,0,0.0,0,0,0.010180661279534247,0.011375286140175453,-0.0020437919251252165,0.002608546242670865
PBMC10k,all,trrust_dorothea_union,0.25,6978,6855,0.9823731728288908,123,all_caliper_candidates_excluded:119; caliper_candidates_exhausted_by_unique_constraint:4,10,6855,6855,6855,0,0,0,0.0,0,0,0.0043257042062705316,0.004909929790750089,-0.0005533341631683904,0.0007191588243941925
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0.25,320,301,0.940625,19,all_caliper_candidates_excluded:19,10,301,301,301,0,0,0,0.0,0,0,0.05720395173054972,0.06480195929078394,-0.0006902826693842844,0.004161482016159886
Kang_IFN_beta,stim,trrust_dorothea_intersection,0.25,327,294,0.8990825688073395,33,all_caliper_candidates_excluded:33,10,294,294,294,0,0,0,0.0,0,0,0.025146201501138738,0.030003733914945985,-0.0014890442259543385,0.0030570462908687964
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,0.25,446,405,0.9080717488789237,41,all_caliper_candidates_excluded:41,10,405,405,405,0,0,0,0.0,0,0,0.011791757806614941,0.013026761938819721,-0.003580467208436256,0.005074741291111247
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0.25,901,805,0.8934517203107658,96,all_caliper_candidates_excluded:94; caliper_candidates_exhausted_by_unique_constraint:2,10,805,805,805,0,0,0,0.0,0,0,0.004960485468275011,0.005990458877479816,-0.0006948944284782152,0.0016298321950213215
