tf,target,mode,source_db,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AATF,BAX,Repression,TRRUST,,,0.2945981993997955,0.4886628876291579,0.3623645,0.8149618,0.22750678116843745,3.0311970177938288,0
AATF,CDKN1A,Unknown,TRRUST,,,0.2945981993997955,0.0708569523174387,0.3623645,0.104368836,-0.043243775197974905,0.06383375847895917,1
AATF,MYC,Activation,TRRUST,,,0.2945981993997955,0.2710070023341127,0.3623645,0.41546583,0.07529058761823003,1.4853499567263537,2
AATF,TP53,Unknown,TRRUST,,,0.2945981993997955,0.2720906968989674,0.3623645,0.35978127,0.054073623245052146,1.493046629186667,3
ABL1,BAX,Activation,TRRUST,,,0.0611870623541183,0.4886628876291579,0.064604774,0.8149618,0.22750678116843745,3.0311970177938288,4
ABL1,BCL2,Repression,TRRUST,,,0.0611870623541183,0.3046848949649814,0.064604774,0.5778597,0.13716599714310515,1.7245388547237723,5
ABL1,BCL6,Repression,TRRUST,,,0.0611870623541183,0.1882294098032687,0.064604774,0.3059335,0.033556513696820535,0.8974425911038394,6
ABL1,CCND2,Activation,TRRUST,,,0.0611870623541183,0.2890130043347752,0.064604774,0.4857372,0.10206542706644334,1.6132331299130929,7
ABL1,CDKN1A,Activation,TRRUST,,,0.0611870623541183,0.0708569523174387,0.064604774,0.104368836,-0.043243775197974905,0.06383375847895917,8
ABL1,FOXO3,Activation,TRRUST,,,0.0611870623541183,0.2166555518506204,0.064604774,0.2870103,0.026346384709063066,1.0993322302551938,9
ABL1,JUN,Activation,TRRUST,,,0.0611870623541183,0.6497165721906392,0.064604774,2.2591062,0.777755544641191,4.175040955741881,10
ABL1,PIM1,Activation,TRRUST,,,0.0611870623541183,0.3832110703567595,0.064604774,0.65180755,0.16534165120094638,2.282251582232605,11
ABL1,TP53,Activation,TRRUST,,,0.0611870623541183,0.2720906968989674,0.064604774,0.35978127,0.054073623245052146,1.493046629186667,12
AHR,ARNT,Unknown,TRRUST,,,0.2662554184728268,0.1537179059686541,0.5568498,0.18547884,-0.012339192937177381,0.6523331758291754,13
AHR,ASAP1,Activation,DoRothEA_AB,0.5,B,0.2662554184728268,0.2922640880293393,0.5568498,0.46748182,0.09510975125471341,1.6363231472940316,14
