tf,target,mode,pearson,spearman,mutual_information,coexpression_probability,codetection_odds_ratio
AHR,CYP1B1,Unknown,0.2870554029941559,0.27812495827674866,0.027045805,0.04054053872823715,6.035816192626953
AHR,MYC,Unknown,-0.0235101580619812,-0.01397282350808382,6.1483166e-05,0.0074106366373598576,0.8913848996162415
ATF1,LDHA,Unknown,-5.7623117754701525e-05,0.013846470974385738,0.0002504338,0.012641673907637596,1.2236086130142212
ATF1,MAP1LC3B,Unknown,-0.005080763716250658,0.012382695451378822,0.0005376623,0.01133391447365284,1.2416380643844604
ATF1,PLAUR,Unknown,-0.013749739155173302,-0.005845099687576294,1.044597e-05,0.003487358335405588,0.9724938273429871
ATF1,SLC20A1,Unknown,-0.015799948945641518,-0.008086889050900936,2.208631e-05,0.004359197802841663,0.9381101727485657
ATF4,CEBPB,Unknown,0.03681419417262077,0.05775732547044754,0.007366185,0.04795117676258087,1.6136260032653809
ATF4,MCL1,Unknown,0.027293028309941292,0.03174804896116257,0.019193377,0.1412380188703537,1.5054506063461304
ATF4,TNFRSF10B,Unknown,-0.012052541598677635,0.009628762491047382,0.0016103932,0.02266782894730568,1.2153176069259644
BCL6,CCND2,Unknown,-0.03923187777400017,-0.03782791271805763,0.00083947036,0.005231037270277739,0.6036214232444763
BCL6,HDAC7,Unknown,0.006591745652258396,-0.009971250779926777,7.83631e-05,0.00566695723682642,0.8652520775794983
BCL6,LITAF,Unknown,-0.025018181651830673,-0.02020443044602871,0.0016576444,0.008282476104795933,0.8560864329338074
CEBPB,CDKN1A,Unknown,0.3733610212802887,0.3804606795310974,0.04968299,0.050130777060985565,11.423294067382812
CEBPB,FURIN,Unknown,0.0398375429213047,0.043584760278463364,0.0009141667,0.013513513840734959,1.5475986003875732
CEBPB,S100A9,Unknown,0.38903290033340454,0.38325366377830505,0.04969007,0.04838709533214569,10.955357551574707
CEBPB,XBP1,Unknown,-0.015737393870949745,0.0009977873414754868,0.0031649931,0.017872711643576622,1.0884146690368652
CEBPD,GAPDH,Unknown,0.10143297165632248,0.11169497668743134,0.005966969,0.03487358242273331,2.5967907905578613
CREB1,AQP3,Unknown,0.006755495443940163,0.01352505199611187,0.000101139674,0.00566695723682642,1.2738051414489746
CREB1,CD4,Unknown,0.01047858688980341,0.002259403932839632,2.0835797e-07,0.006102877203375101,1.0389769077301025
CREB1,HLA-DQB1,Unknown,0.0083926385268569,0.036045681685209274,0.0007442562,0.010897994972765446,1.575721025466919
CREB1,JUN,Unknown,0.014746788889169693,0.017478447407484055,0.00014616022,0.005231037270277739,1.3485476970672607
CREB1,NOLC1,Unknown,0.013007810339331627,0.022226890549063683,0.00024485384,0.005231037270277739,1.4639296531677246
