tf,target,mode,pearson,spearman,mutual_information,coexpression_probability,codetection_odds_ratio
AATF,BAX,Unknown,0.027345458045601845,0.0396089069545269,0.010835433,0.0667329803109169,1.70956552028656
AATF,CDKN1A,Unknown,-0.00202392041683197,0.025990664958953857,0.0004998215,0.008951984345912933,1.4894782304763794
AATF,MYC,Unknown,0.046866487711668015,0.09038905054330826,0.006145149,0.037345148622989655,2.0789873600006104
AATF,TP53,Unknown,0.017242196947336197,0.04726480692625046,0.0016205115,0.018627362325787544,1.6823445558547974
AHR,MYC,Unknown,0.015201380476355553,0.05331958457827568,0.002292135,0.016638033092021942,1.816108226776123
AHR,PCNA,Unknown,0.013375489041209221,0.04793759807944298,0.0012318162,0.008319016546010971,1.9420362710952759
AIP,AHR,Unknown,0.014843752607703209,0.03948768973350525,0.0027228936,0.01736142486333847,1.6020723581314087
AIP,NFKB2,Unknown,0.02413896843791008,0.0589580163359642,0.028986918,0.060584139078855515,1.6845229864120483
AIP,RSF1,Unknown,-0.004219952505081892,0.021997500211000443,0.012982146,0.037797268480062485,1.3183785676956177
APBB1,GMPS,Unknown,0.0038747317157685757,0.011837922967970371,0.00013478886,0.0036169635131955147,1.3701512813568115
APEX1,NFKB1,Unknown,0.03321230411529541,0.0967615470290184,0.016391486,0.031196311116218567,2.5065016746520996
APEX1,RELA,Unknown,-0.0033095073886215687,0.027040155604481697,0.002637262,0.027398498728871346,1.412142276763916
ARID1A,CDKN1A,Unknown,0.011842153035104275,0.03740010783076286,0.00068430277,0.0066009582951664925,1.720299482345581
ARID1A,SMAD3,Unknown,0.019116880372166634,0.03388753905892372,0.00064751605,0.010579618625342846,1.5177342891693115
ASH1L,TGFB1,Unknown,-0.004350016359239817,0.019977975636720657,0.012547882,0.03653133288025856,1.300784707069397
ASH1L,TIMP1,Unknown,0.0014644879847764969,0.02326211892068386,0.0065045827,0.02748892270028591,1.2913920879364014
ATF1,BCL2,Unknown,0.013138961978256702,0.05310654267668724,0.001958488,0.015733791515231133,1.8651854991912842
ATF1,FTH1,Unknown,-0.008189751766622066,-0.02011081576347351,0.00052252435,0.09657292813062668,1.9723080396652222
ATF1,LDHA,Unknown,0.035567574203014374,0.05118393152952194,0.0047922777,0.07568496465682983,1.9245378971099854
ATF1,MAP1LC3B,Unknown,0.004058442544192076,0.017608461901545525,0.004660677,0.036169636994600296,1.3370732069015503
ATF1,SLC20A1,Unknown,0.008725945837795734,0.03948616236448288,0.0009507351,0.009313681162893772,1.7262357473373413
ATF1,USP7,Unknown,0.0004547565768007189,0.026865335181355476,0.0005744714,0.008499864488840103,1.547504186630249
ATF2,CDKN1A,Unknown,0.00016940727073233575,0.018459131941199303,0.00017710002,0.004069083835929632,1.4059703350067139
ATF2,DUSP1,Unknown,0.006067196372896433,0.008342784829437733,4.237129e-05,0.004611628595739603,1.1701164245605469
ATF2,FAS,Unknown,0.004742448218166828,0.030212586745619774,0.0027846794,0.01184555608779192,1.4813028573989868
ATF2,KAT5,Unknown,0.01464566309005022,0.032500121742486954,0.00062725676,0.007776471786201,1.6124237775802612
ATF2,IMPDH2,Unknown,0.00696524977684021,0.03767753764986992,0.0027208626,0.01736142486333847,1.6040643453598022
ATF2,JUN,Unknown,-0.002392270602285862,0.008029870688915253,0.0012556539,0.013473189435899258,1.1548926830291748
