dataset,condition,edge_set,score_definition,metric,n_repeats,n_positive_mean,n_negative_mean,random_auprc_baseline,auroc_mean,auroc_sd,auprc_mean,auprc_sd,enrichment_at_5pct_mean,enrichment_at_5pct_sd,median_difference_mean,median_difference_sd,cliffs_delta_mean,cliffs_delta_sd,positive_median_mean,negative_median_mean,auroc_ci95_low,auroc_ci95_high,auprc_ci95_low,auprc_ci95_high,enrichment_at_5pct_ci95_low,enrichment_at_5pct_ci95_high,median_difference_ci95_low,median_difference_ci95_high,cliffs_delta_ci95_low,cliffs_delta_ci95_high
GSE126030_T_cells,blood,dorothea_ab,formal_abs,codetection_odds_ratio,10,2550.0,2550.0,0.5,0.4953492195309496,0.0031786370285067107,0.5037342407147327,0.0025720963831321695,1.0729411764705883,0.03176228506873189,-0.01090538501739502,0.004283262784433795,-0.009301560938100728,0.006357274057013452,1.4327405095100403,1.4436458945274353,0.4930753595810908,0.4976230794808085,0.5018942738042835,0.5055742076251819,1.0502198064978367,1.0956625464433398,-0.013969446630249379,-0.00784132340454066,-0.013849280837818428,-0.0047538410383830285
GSE126030_T_cells,blood,dorothea_ab,formal_abs,coexpression_probability,10,2550.0,2550.0,0.5,0.4998762629757786,0.0005101374684004737,0.5005381110987459,0.00026634631087633193,0.9976470588235294,0.008904254308981091,0.0002553202211856842,0.0002610339304209665,-0.0002474740484429305,0.0010202749368009186,0.042751774191856384,0.0424964539706707,0.49951133261477315,0.5002411933367841,0.5003475784258855,0.5007286437716063,0.9912773390112418,1.004016778635817,6.85877963711026e-05,0.00044205264600026583,-0.0009773347704537918,0.00048238667356793066
GSE126030_T_cells,blood,dorothea_ab,formal_abs,mutual_information,10,2550.0,2550.0,0.5,0.490781783929258,0.0012890683962223659,0.4865589817260547,0.0012492489323511157,0.8752941176470588,0.02721969168067005,-0.00028575146570801734,0.0001090361096193975,-0.01843643214148404,0.002578136792444708,0.00524874497205019,0.005534496437758207,0.4898596399497751,0.49170392790874085,0.4856653228750435,0.48745264057706594,0.8558223232253916,0.8947659120687259,-0.00036375119972245504,-0.00020775173169357964,-0.020280720100449776,-0.016592144182518302
GSE126030_T_cells,blood,dorothea_ab,formal_abs,pearson,10,2550.0,2550.0,0.5,0.5348950941945405,0.0027105879845825253,0.5443179744829792,0.0023393355606063874,1.2745098039215688,0.027729677693590134,0.0017369166016578674,0.00022695518633263713,0.06979018838908113,0.00542117596916512,0.016082136891782284,0.014345220290124416,0.5329560563605773,0.5368341320285037,0.542644514634359,0.5459914343315995,1.2546731874836201,1.2943464203595174,0.0015745626417730627,0.0018992705615426722,0.06591211272115473,0.07366826405700753
GSE126030_T_cells,blood,dorothea_ab,formal_abs,spearman,10,2550.0,2550.0,0.5,0.5246078123798539,0.0033173865902501177,0.5255950607695297,0.0020197956098182363,1.1576470588235295,0.012373500199946982,0.0017061787657439709,0.00040401745515161936,0.049215624759707775,0.006634773180500208,0.03170469030737877,0.029998511541634798,0.522234696972804,0.5269809277869038,0.5241501860314335,0.5270399355076258,1.1487955900046918,1.1664985276423672,0.0014171620890758765,0.0019951954424120653,0.04446939394560804,0.05396185557380751
GSE126030_T_cells,blood,trrust,formal_abs,codetection_odds_ratio,10,1292.0,1292.0,0.5,0.4853023248569429,0.005015152014310912,0.49775301488692875,0.0028581912781001037,0.9861538461538462,0.026597543548492173,-0.02681717276573181,0.009247218550346355,-0.02939535028611412,0.010030304028621866,1.4389618635177612,1.465779036283493,0.48171470122910365,0.4888899484847822,0.4957083880176064,0.4997976417562511,0.967127109695058,1.0051805826126343,-0.03343223441657481,-0.020202111114888812,-0.036570597541792677,-0.022220103030435562
GSE126030_T_cells,blood,trrust,formal_abs,coexpression_probability,10,1292.0,1292.0,0.5,0.5015406490525166,0.0006853725065059566,0.5024996768786657,0.0004441978896839075,1.0123076923076924,0.006486723405473569,0.00041702091693878173,0.0003917338252109418,0.0030812981050330813,0.0013707450130118904,0.04229787178337574,0.04188085086643696,0.5010503630968376,0.5020309350081956,0.5021819168506707,0.5028174369066607,1.0076673699225827,1.016948014692802,0.00013679141977891664,0.0006972504140986468,0.002100726193674977,0.004061870016391186
GSE126030_T_cells,blood,trrust,formal_abs,mutual_information,10,1292.0,1292.0,0.5,0.4901257380498231,0.0015959023492098181,0.49242119643717874,0.0014781708497279063,0.9,0.027377123723157225,0.0002522049006074667,0.00014832398113140627,-0.0197485239003537,0.0031918046984196475,0.007612430024892092,0.007360225124284625,0.48898409828309,0.49126737781655627,0.4913637767116481,0.4934786161627094,0.8804155854795215,0.9195844145204786,0.00014610031638673623,0.0003583094848281972,-0.02203180343382006,-0.017465244366887338
GSE126030_T_cells,blood,trrust,formal_abs,pearson,10,1292.0,1292.0,0.5,0.5118286262688226,0.005832953671496636,0.5245225999100822,0.0035350778113187333,1.1153846153846154,0.022057244274468236,0.0003142232075333595,0.00045353287193803906,0.023657252537645345,0.011665907342993298,0.016371263191103935,0.016057039983570574,0.5076559825778161,0.5160012699598292,0.5219937575846757,0.5270514422354887,1.0996058133665918,1.131163417402639,-1.0214664484020251e-05,0.0006386610795507393,0.015311965155632266,0.03200253991965842
GSE126030_T_cells,blood,trrust,formal_abs,spearman,10,1292.0,1292.0,0.5,0.4983283051692243,0.006295499997113663,0.5093981802862935,0.0032793700310778475,1.0707692307692307,0.03177832489195833,-0.0009102977812290192,0.0007353921570824409,-0.0033433896615514326,0.012590999994227307,0.03200832009315491,0.032918617874383924,0.4938247757698646,0.5028318345685839,0.507052260287388,0.5117441002851989,1.0480363865981637,1.0935020749402977,-0.001436365639381302,-0.0003842299230767363,-0.012350448460270733,0.005663669137167869
GSE126030_T_cells,blood,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,529.0,529.0,0.5,0.4909334229080085,0.003957087911600655,0.49778295251634874,0.0041393801271144256,0.9735849056603774,0.06608264420912555,-0.03207526206970215,0.003575320152378648,-0.018133154183983046,0.007914175823201303,1.466232419013977,1.4983076810836793,0.4881026927429835,0.4937641530730335,0.4948218183560546,0.5007440866766428,0.9263122297617726,1.020857581558982,-0.034632892031697615,-0.02951763210770668,-0.02379461451403298,-0.01247169385393311
GSE126030_T_cells,blood,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,529.0,529.0,0.5,0.498441972405759,0.00042470060941767547,0.5017775963889431,0.0007684148259814781,1.0188679245283019,0.0,-0.0010156039148569106,0.0005562027468561553,-0.0031160551884820364,0.0008494012188353168,0.044765956699848175,0.045781560614705084,0.4981381598918498,0.4987457849196682,0.501227905536541,0.5023272872413453,1.0188679245283019,1.0188679245283019,-0.0014134873909302517,-0.0006177204387835696,-0.0037236802163004125,-0.00250843016066366
GSE126030_T_cells,blood,trrust_dorothea_intersection,formal_abs,mutual_information,10,529.0,529.0,0.5,0.48334732937632446,0.0019598110784455774,0.4806981844887638,0.0026219479517090084,0.8603773584905661,0.05277025651170573,-0.0008044771850109101,0.00021790309537198817,-0.03330534124735117,0.003919622156891152,0.008880261331796646,0.009684738516807557,0.4819453649869961,0.48474929376565284,0.47882255591446055,0.482573813063067,0.8226277910660287,0.8981269259151035,-0.0009603556691137038,-0.0006485987009081164,-0.03610927002600797,-0.030501412468694367
GSE126030_T_cells,blood,trrust_dorothea_intersection,formal_abs,pearson,10,529.0,529.0,0.5,0.5221493633884956,0.003148385444967708,0.5356928602699986,0.004752921738057267,1.230188679245283,0.05953287832049925,0.0008672626689076423,0.00047615960375762417,0.044298726776991225,0.006296770889935285,0.018688496202230453,0.017821233533322812,0.5198971441178374,0.5244015826591538,0.5322928248812273,0.5390928956587699,1.1876014236074797,1.2727759348830863,0.0005266386080239855,0.001207886729791299,0.03979428823567489,0.048803165318307556
GSE126030_T_cells,blood,trrust_dorothea_intersection,formal_abs,spearman,10,529.0,529.0,0.5,0.510092159476274,0.0056815299373443795,0.5144288620389298,0.0032872432062679875,1.1773584905660377,0.07713061492707365,-0.00027042403817176817,0.0006820235548213705,0.02018431895254804,0.011363059874688794,0.03484321013092995,0.035113634169101716,0.5060278377992183,0.5141564811533296,0.5120773099097803,0.5167804141680793,1.122182572517587,1.2325344086144885,-0.0007583142981355583,0.00021746622179202196,0.012055675598436842,0.028312962306659237
GSE126030_T_cells,blood,trrust_dorothea_union,formal_abs,codetection_odds_ratio,10,3313.0,3313.0,0.5,0.49508467088418345,0.004046408826619377,0.5050138356031459,0.0020738457510183737,1.0662650602409638,0.030716985021643297,-0.009373462200164795,0.0052797833082728176,-0.009830658231633127,0.008092817653238731,1.4296156167984009,1.4389890789985658,0.4921900443857538,0.4979792973826131,0.5035302957232746,0.5064973754830173,1.0442914528756895,1.088238667606238,-0.013150391651670874,-0.005596532748658716,-0.015619911228492342,-0.004041405234773912
GSE126030_T_cells,blood,trrust_dorothea_union,formal_abs,coexpression_probability,10,3313.0,3313.0,0.5,0.5009988275294874,0.00042069403424801756,0.5012864192686209,0.0003851120980645827,0.9963855421686747,0.008131910333862106,0.00030638314783573153,0.0001674592038930287,0.0019976550589747345,0.0008413880684960778,0.04221276566386223,0.0419063825160265,0.500697881146795,0.5012997739121798,0.5010109266697046,0.5015619118675373,0.9905683239527594,1.00220276038459,0.00018659004986553356,0.0004261762458059295,0.0013957622935899692,0.0025995478243594997
GSE126030_T_cells,blood,trrust_dorothea_union,formal_abs,mutual_information,10,3313.0,3313.0,0.5,0.4919019769461812,0.001662021509815637,0.49162712196460434,0.0012174988500043506,0.925301204819277,0.027853077725943247,-0.00022237221710383893,7.311439785346855e-05,-0.01619604610763751,0.0033240430196312836,0.005563701037317514,0.005786073254421353,0.4907130383812929,0.49309091551106954,0.4907561757542644,0.4924980681749443,0.9053763133159898,0.9452260963225643,-0.0002746751065328816,-0.00017006932767479627,-0.018573923237414188,-0.01381816897786083
GSE126030_T_cells,blood,trrust_dorothea_union,formal_abs,pearson,10,3313.0,3313.0,0.5,0.5303027641568594,0.0033057803663837557,0.5383579441861356,0.0032474056743256,1.2072289156626508,0.02711958717451271,0.0015449048951268196,0.00024495525151141693,0.060605528313718814,0.006611560732767474,0.015842650085687637,0.014297745190560818,0.5279379513422043,0.5326675769715145,0.5360348901105771,0.540680998261694,1.1878287316907803,1.2266290996345213,0.0013696744643087783,0.001720135325944861,0.05587590268440875,0.06533515394302887
GSE126030_T_cells,blood,trrust_dorothea_union,formal_abs,spearman,10,3313.0,3313.0,0.5,0.5189488417833542,0.0031311931779535495,0.5221504659424528,0.0023257326494871846,1.1210843373493975,0.024337813294981026,0.0014207398518919945,0.0003562332542256507,0.03789768356670835,0.006262386355907146,0.03139243274927139,0.029971692897379398,0.5167089211196335,0.5211887624470749,0.5204867370302428,0.5238141948546629,1.1036741145330484,1.1384945601657466,0.001165905933351717,0.001675573770432272,0.03341784223926701,0.042377524894149685
GSE126030_T_cells,bone_marrow,dorothea_ab,formal_abs,codetection_odds_ratio,10,2223.0,2223.0,0.5,0.5026771095703548,0.002993220255461747,0.5229200183819376,0.0026196126757209886,1.2654708520179372,0.026889215930366316,-0.00031644105911254883,0.005438061539781058,0.0053542191407096925,0.005986440510923521,1.3905372619628906,1.3908537030220032,0.5005358887895731,0.5048183303511365,0.5210460603634397,0.5247939764004355,1.2462354657064998,1.2847062383293746,-0.004206595936590007,0.0035737138183649093,0.0010717775791463068,0.009636660702273078
GSE126030_T_cells,bone_marrow,dorothea_ab,formal_abs,coexpression_probability,10,2223.0,2223.0,0.5,0.5006022689629479,0.0005100002828771418,0.5021657075585446,0.0002974889936614964,1.0035874439461883,0.002836123462034423,0.0005551384761929512,0.00015894266634364638,0.0012045379258959655,0.0010200005657542558,0.025206301361322403,0.024651162885129453,0.500237436738554,0.5009671011873418,0.501952896752484,0.5023785183646052,1.0015586034414878,1.0056162844508887,0.00044143774217350834,0.0006688392102123941,0.00047487347710812786,0.001934202374683803
GSE126030_T_cells,bone_marrow,dorothea_ab,formal_abs,mutual_information,10,2223.0,2223.0,0.5,0.4952195274164164,0.001943775128312269,0.5048732272943641,0.001537603018332562,1.0017937219730941,0.021578573910455673,-6.737943040207029e-05,4.804318815035833e-05,-0.009560945167167201,0.0038875502566245368,0.001900930656120181,0.001968310086522251,0.49382903445475934,0.49661002037807345,0.5037732923565864,0.5059731622321418,0.9863573401056417,1.0172301038405467,-0.0001017474568294079,-3.301140397473267e-05,-0.012341931090481258,-0.006779959243853145
GSE126030_T_cells,bone_marrow,dorothea_ab,formal_abs,pearson,10,2223.0,2223.0,0.5,0.539174335541265,0.0025576924441346356,0.5527090961765337,0.0027366392264292407,1.3399103139013453,0.03738714068965857,0.002315635979175568,0.0002886269521499105,0.07834867108253003,0.005115384888269256,0.01718316227197647,0.014867526292800904,0.5373446725880506,0.5410039984944794,0.5507514224068069,0.5546667699462606,1.3131651646151776,1.366655463187513,0.0021091646957110866,0.002522107262640049,0.0746893451761012,0.08200799698895887
GSE126030_T_cells,bone_marrow,dorothea_ab,formal_abs,spearman,10,2223.0,2223.0,0.5,0.5189015727086612,0.002911420025055659,0.5395214571652589,0.0023313965818291867,1.2807174887892376,0.036320101760209056,0.0011698737740516662,0.0003930148048210526,0.03780314541732257,0.005822840050111355,0.02827494777739048,0.027105074003338815,0.516818868287609,0.5209842771297134,0.5378536765199332,0.5411892378105846,1.2547356531701719,1.3066993244083034,0.000888727919281324,0.0014510196288220084,0.03363773657521819,0.04196855425942695
GSE126030_T_cells,bone_marrow,trrust,formal_abs,codetection_odds_ratio,10,1209.0,1209.0,0.5,0.5074663349937503,0.005263203767379334,0.5228592470123308,0.003911663574525006,1.185123966942149,0.033103733081652514,0.00557258129119873,0.011490616961601495,0.014932669987500669,0.010526407534758647,1.3787344694137573,1.3731618881225587,0.5037012658313199,0.5112314041561806,0.5200610114605312,0.5256574825641304,1.1614429828693782,1.2088049510149197,-0.002647310905938661,0.013792473488336121,0.007402531662639881,0.022462808312361457
