dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,141,MYC,CDK4,RORA,Activation,0.030105324370432823,0.25,0,0.2672014,0.24590701,0.193985599322312,0.1950747262055938,0.60675657,0.285230229321708,147
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,92,HIF1A,RORA,TBC1D10C,Activation,0.015011355760624678,0.25,0,0.24590701,0.23374528,0.1950747262055938,0.1950747262055938,0.2684732,0.2056634597930549,95
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,300,SP3,RORA,SDF4,Activation,0.012513724990978945,0.25,0,0.24590701,0.24052112,0.1950747262055938,0.1958613178435194,0.083256744,0.0787801778907238,312
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,182,NFKB1,CDK4,RPIA,Activation,0.023449182237570615,0.25,0,0.2672014,0.26066872,0.193985599322312,0.1956192896472346,0.11804789,0.1009257578507906,191
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,44,ELF2,VCP,SDF4,Activation,0.004180501972753332,0.25,0,0.23840299,0.24052112,0.1961033460398043,0.1958613178435194,0.08604003,0.0821685726387122,45
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,336,STAT3,CDK4,PRNP,Activation,0.012409218601236168,0.25,0,0.2672014,0.25909498,0.193985599322312,0.1934410358806712,0.33920252,0.2711320868881103,348
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,240,RELA,CDK4,RORA,Activation,0.030105324370432823,0.25,0,0.2672014,0.24590701,0.193985599322312,0.1950747262055938,0.13057321,0.1190173655230855,252
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,160,MYC,SRSF1,CAMK4,Activation,0.01134475935657312,0.25,0,0.22811669,0.22249034,0.1887214860531171,0.1880559085133338,0.60675657,0.285230229321708,166
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,90,HIF1A,NR3C1,PHF20L1,Activation,0.008538159590058573,0.25,0,0.2315664,0.22642256,0.1855146124523431,0.1859381617958415,0.2684732,0.2056634597930549,93
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,436,YY1,NR3C1,RIPOR2,Activation,0.013796568003720798,0.25,0,0.2315664,0.22255068,0.1855146124523431,0.1861196829430552,0.2520799,0.2130453197797422,450
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,315,STAT1,MVP,HNRNPL,Activation,0.0020374635429235622,0.25,0,0.20476024,0.20324755,0.1789798511526528,0.179040358201724,0.62375486,0.3569915895201921,327
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,431,YY1,FDPS,SIGIRR,Repression,0.008522249537935813,0.25,0,0.21777,0.21426122,0.184909541961631,0.1843649785199902,0.2520799,0.2130453197797422,445
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,304,SREBF2,FDPS,CELF1,Activation,0.008355042973134443,0.25,0,0.21777,0.21153826,0.184909541961631,0.1846675137653462,0.09203018,0.0832576995219941,316
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,261,RELA,OPTN,IDI1,Activation,0.00854131225637863,0.25,0,0.21831447,0.22037134,0.1823077388515691,0.1829128093422812,0.13057321,0.1190173655230855,273
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,31,CREB1,PPP2CA,EML4,Activation,0.003404669048253334,0.25,0,0.21183977,0.214261,0.1819446965571419,0.1818236824589995,0.12131515,0.1104858716040434,32
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,37,CTCF,PBXIP1,MRPL21,Activation,0.004920929243368827,0.25,0,0.22454697,0.2249699,0.1800084709868633,0.179645428692436,0.09681015,0.0899134749198284,38
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,87,HIF1A,ITGB2,E2F4,Activation,0.0038032539514928094,0.25,0,0.21897991,0.22176345,0.1800689780359345,0.1799479639377921,0.2684732,0.2056634597930549,90
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,277,RUNX1,ITGB2,MGST3,Activation,0.0064555994832182955,0.25,0,0.21897991,0.21413994,0.1800689780359345,0.1798874568887209,0.07835578,0.0726084588854593,289
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,295,SP3,ADGRE5,SRP72,Activation,0.012097150156583558,0.25,0,0.21583346,0.21111345,0.1784957947600831,0.1777092031221574,0.083256744,0.0787801778907238,307
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,419,USF2,MYH9,ELOF1,Activation,0.00224082970232245,0.25,0,0.20554735,0.2037319,0.1780117383675135,0.1780117383675135,0.18122166,0.1578023839777304,433
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,247,RELA,HDAC1,DHX36,Activation,0.0038031535980031926,0.25,0,0.20010112,0.20288457,0.1769831185333029,0.1768621044351605,0.13057321,0.1190173655230855,259
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,83,HIF1A,BNIP3,APOBEC3C,Activation,0.026896305214764635,0.25,0,0.22805555,0.21310969,0.172021540509464,0.170569371331755,0.2684732,0.2056634597930549,84
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,23,CREB1,AQP3,CISD3,Activation,0.03862171645480841,0.25,0,0.25346768,0.23168635,0.1709324136261823,0.1729896532946033,0.12131515,0.1104858716040434,23
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,382,TP53,CTNNB1,CHASERR,Repression,0.004925770186879079,0.25,0,0.19768049,0.19544171,0.1700248078901142,0.1697222726447581,0.14055775,0.1242209717432105,395
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,133,LEF1,CTNNB1,MYCBP2,Activation,0.0014465934803422258,0.25,0,0.19768049,0.1967125,0.1700248078901142,0.1700853149391854,0.40497273,0.3056816119077852,139
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,72,FOXO1,KLF2,WARS1,Activation,0.018296189830805342,0.25,0,0.26835078,0.27125496,0.1671204695346962,0.1657893144551297,0.05245911,0.0503418648272515,73
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,97,HSF1,STIP1,GLRX3,Activation,0.010287464661864582,0.25,0,0.20935892,0.20112976,0.1689356810068324,0.16881466690869,0.17625993,0.1569552852907335,100
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,64,ETS1,WAS,CYP20A1,Activation,0.004554842898390291,0.25,0,0.18454987,0.18818043,0.1630059901978542,0.1630664972469254,0.35590377,0.2819023416227901,65
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,30,CREB1,POLD2,DKC1,Activation,0.012925195091900595,0.25,0,0.21177918,0.21776903,0.165002722817204,0.1657893144551297,0.12131515,0.1104858716040434,31
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,21,CEBPB,TOP1,GIMAP2,Activation,0.010393037148999676,0.25,0,0.20633323,0.19858825,0.1654262721607025,0.1651237369153464,0.49331647,0.3387789677497505,21
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,125,JUN,POLD2,GIMAP2,Activation,0.016363201687970196,0.25,0,0.21177918,0.19858825,0.165002722817204,0.1651237369153464,0.09759687,0.0778120651055843,130
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,168,NFIC,POLD2,ARPP19,Activation,0.0214553261073268,0.25,0,0.21177918,0.19749889,0.165002722817204,0.1640951170811359,0.07926337,0.0736975857687413,174
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,222,RARA,PRKCA,LPXN,Activation,0.005503228922021493,0.25,0,0.18696989,0.1909636,0.1628244690506406,0.1630059901978542,0.065165415,0.0614751618563548,231
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,385,TP53,DDB2,KMT2A,Activation,0.005788102652090821,0.25,0,0.18237127,0.17904316,0.1587704967628697,0.1584679615175137,0.14055775,0.1242209717432105,398
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,303,SREBF2,FDFT1,TCEAL8,Activation,0.0016463521649648285,0.25,0,0.18400507,0.18382366,0.1596781024989378,0.1597991165970802,0.09203018,0.0832576995219941,315
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,283,RUNX3,CASP8,SKAP1,Activation,0.0014467158188810124,0.25,0,0.17607825,0.17704636,0.1558056513583806,0.1558661584074518,0.26786903,0.2065105584800518,295
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,139,MYC,BRD7,TUSC2,Repression,7.483626916290897e-05,0.25,0,0.17335519,0.17341582,0.1527802989048202,0.1527802989048202,0.60675657,0.285230229321708,145
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,254,RELA,MAT2A,CENPX,Activation,0.003834814554244713,0.25,0,0.1819474,0.18031406,0.1522962425122506,0.1520542143159658,0.13057321,0.1190173655230855,266
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,199,NFKB1,MAT2A,FERMT3,Activation,0.007434384617620166,0.25,0,0.1819474,0.17625979,0.1522962425122506,0.152114721365037,0.11804789,0.1009257578507906,208
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,121,JUN,MAT2A,FERMT3,Activation,0.007434384617620166,0.25,0,0.1819474,0.17625979,0.1522962425122506,0.152114721365037,0.09759687,0.0778120651055843,126
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,100,IRF1,ERAP2,MTCH1,Activation,0.00360191318217965,0.25,0,0.17226607,0.16966425,0.1518726931687521,0.1517516790706097,0.9328636,0.4906516609185491,104
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,245,RELA,GATA3,RRP15,Activation,0.013876858309187395,0.25,0,0.18696932,0.18745397,0.1487263266170494,0.1497549464512599,0.13057321,0.1190173655230855,257
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,188,NFKB1,GATA3,CYSLTR1,Activation,0.00501524883836151,0.25,0,0.18696932,0.19005556,0.1487263266170494,0.1489683548133342,0.11804789,0.1009257578507906,197
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,328,STAT1,UPP1,NHERF1,Activation,0.0061554129801935226,0.25,0,0.16899851,0.16597298,0.1460640164579163,0.1464270587523435,0.62375486,0.3569915895201921,340
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,146,MYC,HDAC2,DNMT1,Activation,0.0032862539954597036,0.25,0,0.17172153,0.16905911,0.1480002420281949,0.1480002420281949,0.60675657,0.285230229321708,152
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,369,TBX21,GATA3,CYSLTR1,Activation,0.00501524883836151,0.25,0,0.18696932,0.19005556,0.1487263266170494,0.1489683548133342,0.061293088,0.0528226538391713,382
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,386,TP53,DNMT1,LNPEP,Repression,0.0021751165372645193,0.25,0,0.16905911,0.16742545,0.1480002420281949,0.1479397349791237,0.14055775,0.1242209717432105,399
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,102,IRF1,IRF2,TRAPPC4,Activation,0.004088540968360105,0.25,0,0.1626445,0.16240272,0.1452774248199906,0.1449748895746346,0.9328636,0.4906516609185491,106
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,260,RELA,NOLC1,TM2D3,Activation,0.020250099395523,0.25,0,0.1817053,0.16772743,0.1394687481091548,0.1386821564712291,0.13057321,0.1190173655230855,272
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,202,NFKB1,NOLC1,ETV6,Activation,0.014210052690710665,0.25,0,0.1817053,0.17026885,0.1394687481091548,0.1393477340110124,0.11804789,0.1009257578507906,211
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,307,STAT1,FAS,PSMD14,Activation,0.011607219208475296,0.25,0,0.1684531,0.16675928,0.1361408604102384,0.1352937617232415,0.62375486,0.3569915895201921,319
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,28,CREB1,NOLC1,SH2D2A,Activation,0.013100228400837676,0.25,0,0.1817053,0.1765013,0.1394687481091548,0.1403158467961517,0.12131515,0.1104858716040434,29
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,339,STAT3,ETV6,TM2D3,Activation,0.009503438772167498,0.25,0,0.17026885,0.16772743,0.1393477340110124,0.1386821564712291,0.33920252,0.2711320868881103,351
