dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
GSE126030_T_cells,lung,trrust,3,1137,1137,0,0,0.0,0,0,0.006170907555639094,-0.0015163876198337587
GSE126030_T_cells,lung,trrust,4,1137,1137,0,0,0.0,0,0,0.007293238341372978,-0.001738439164245692
GSE126030_T_cells,lung,trrust,5,1137,1137,0,0,0.0,0,0,0.006636477789038295,-0.001369387974568005
GSE126030_T_cells,lung,trrust,6,1137,1137,0,0,0.0,0,0,0.006946042478365529,-0.0021437599466620255
GSE126030_T_cells,lung,trrust,7,1137,1137,0,0,0.0,0,0,0.006382521253583668,-0.0011703910205948288
GSE126030_T_cells,lung,trrust,8,1137,1137,0,0,0.0,0,0,0.00679687190906752,-0.0011310831802235062
GSE126030_T_cells,lung,trrust,9,1137,1137,0,0,0.0,0,0,0.005363854097604133,-0.0010702863397286254
GSE126030_T_cells,lung,dorothea_ab,0,2102,2102,0,0,0.0,0,0,0.0035658655338664134,-0.0005290648852098914
GSE126030_T_cells,lung,dorothea_ab,1,2102,2102,0,0,0.0,0,0,0.0038645423067479538,-0.0006895110759496672
GSE126030_T_cells,lung,dorothea_ab,2,2102,2102,0,0,0.0,0,0,0.003875723761372723,-0.0006807250415803721
GSE126030_T_cells,lung,dorothea_ab,3,2102,2102,0,0,0.0,0,0,0.003375813842277467,-0.0005286868683302831
GSE126030_T_cells,lung,dorothea_ab,4,2102,2102,0,0,0.0,0,0,0.003779585511396356,-0.0005733258735530677
GSE126030_T_cells,lung,dorothea_ab,5,2102,2102,0,0,0.0,0,0,0.003746905827064956,-0.000935417017900604
GSE126030_T_cells,lung,dorothea_ab,6,2102,2102,0,0,0.0,0,0,0.00373429593814947,-0.0010920039254956396
GSE126030_T_cells,lung,dorothea_ab,7,2102,2102,0,0,0.0,0,0,0.0035153487372290284,-0.0009024757124537368
GSE126030_T_cells,lung,dorothea_ab,8,2102,2102,0,0,0.0,0,0,0.0038776262306153705,-0.0007806008131176034
GSE126030_T_cells,lung,dorothea_ab,9,2102,2102,0,0,0.0,0,0,0.0034100276667297096,-0.0007620235830663423
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,466,466,0,0,0.0,0,0,0.013524246239410013,-0.0019500059964662668
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,466,466,0,0,0.0,0,0,0.013049828580393552,-0.0017344855173916096
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,466,466,0,0,0.0,0,0,0.011091779884036796,-0.0020931806104866548
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,466,466,0,0,0.0,0,0,0.009569079594385504,-0.0017245363501418166
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,466,466,0,0,0.0,0,0,0.012721399529947094,-0.001675929828458766
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,466,466,0,0,0.0,0,0,0.010847584006435984,-0.0011182091471411317
GSE126030_T_cells,lung,trrust_dorothea_intersection,6,466,466,0,0,0.0,0,0,0.012378210767994446,-0.0020904358527638325
GSE126030_T_cells,lung,trrust_dorothea_intersection,7,466,466,0,0,0.0,0,0,0.011916436591097822,-0.0029881923352149814
GSE126030_T_cells,lung,trrust_dorothea_intersection,8,466,466,0,0,0.0,0,0,0.01335456602461238,-0.002078370040306807
GSE126030_T_cells,lung,trrust_dorothea_intersection,9,466,466,0,0,0.0,0,0,0.012090524877603993,-0.0023628132665574203
GSE126030_T_cells,lung,trrust_dorothea_union,0,2773,2773,0,0,0.0,0,0,0.004294322862436865,-0.0011396719170959416
GSE126030_T_cells,lung,trrust_dorothea_union,1,2773,2773,0,0,0.0,0,0,0.0035485116600202727,-0.0007688733801119265
GSE126030_T_cells,lung,trrust_dorothea_union,2,2773,2773,0,0,0.0,0,0,0.003717393348717818,-0.0011534731430876233
GSE126030_T_cells,lung,trrust_dorothea_union,3,2773,2773,0,0,0.0,0,0,0.00389730450987332,-0.0009080174351572358
GSE126030_T_cells,lung,trrust_dorothea_union,4,2773,2773,0,0,0.0,0,0,0.0038825311911550773,-0.0008445686619260765
GSE126030_T_cells,lung,trrust_dorothea_union,5,2773,2773,0,0,0.0,0,0,0.00386369078405676,-0.00084324805556015
GSE126030_T_cells,lung,trrust_dorothea_union,6,2773,2773,0,0,0.0,0,0,0.003913625084691666,-0.0005119619165338902
GSE126030_T_cells,lung,trrust_dorothea_union,7,2773,2773,0,0,0.0,0,0,0.0034770323899028913,-0.0010188845275609633
GSE126030_T_cells,lung,trrust_dorothea_union,8,2773,2773,0,0,0.0,0,0,0.00394158141355937,-0.0010880524179659313
GSE126030_T_cells,lung,trrust_dorothea_union,9,2773,2773,0,0,0.0,0,0,0.004125813702699306,-0.0008983194549115989
GSE126030_T_cells,lymph_node,trrust,0,1071,1071,0,0,0.0,0,0,0.00934767548529422,-0.00038018212235370704
GSE126030_T_cells,lymph_node,trrust,1,1071,1071,0,0,0.0,0,0,0.0070494341849591715,-0.00030669971827919866
GSE126030_T_cells,lymph_node,trrust,2,1071,1071,0,0,0.0,0,0,0.008747755788737276,-0.0002758212043376347
GSE126030_T_cells,lymph_node,trrust,3,1071,1071,0,0,0.0,0,0,0.009221465429219998,-0.00011107270480427145
GSE126030_T_cells,lymph_node,trrust,4,1071,1071,0,0,0.0,0,0,0.009963076503408151,-0.0008837983684498195
GSE126030_T_cells,lymph_node,trrust,5,1071,1071,0,0,0.0,0,0,0.008910461602288422,-0.00037905853201513186
GSE126030_T_cells,lymph_node,trrust,6,1071,1071,0,0,0.0,0,0,0.00875603294949975,-0.0006083774333124493
GSE126030_T_cells,lymph_node,trrust,7,1071,1071,0,0,0.0,0,0,0.009027140690359163,-5.266236371463157e-05
GSE126030_T_cells,lymph_node,trrust,8,1071,1071,0,0,0.0,0,0,0.009782063593818568,0.00020510426345413062
