dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
GSE126030_T_cells,blood,trrust,7,395,IRF1,BCL2,ORAI1,Repression,0.0007898247714924478,0.25,0,0.28687465,0.28585377,0.2306382978723602,0.2306382978723602,1.7007551,0.688113475177195,399
GSE126030_T_cells,blood,trrust,7,1228,YBX1,CCNC,BLOC1S2,Repression,0.009738315867488372,0.25,0,0.3073027,0.30503345,0.2332482269503747,0.2323971631205873,5.333341,0.90365957446779,1241
GSE126030_T_cells,blood,trrust,7,929,SATB1,BCL2,TRAPPC3,Activation,0.008216877741167998,0.25,0,0.28687465,0.2972026,0.2306382978723602,0.2308085106383176,1.4226522,0.5399716312056911,940
GSE126030_T_cells,blood,trrust,7,666,NFKB1,PTPN6,ARRB2,Unknown,0.003289281801930389,0.25,0,0.3171184,0.31609684,0.2296170212766154,0.2293333333333529,0.2344443,0.1794042553191626,674
GSE126030_T_cells,blood,trrust,7,865,RELA,PTPN6,ARRB2,Unknown,0.003289281801930389,0.25,0,0.3171184,0.31609684,0.2296170212766154,0.2293333333333529,0.20494032,0.1807092198581698,875
GSE126030_T_cells,blood,trrust,7,949,SMAD4,BCL2,HDAC1,Unknown,0.005937214271202935,0.25,0,0.28687465,0.2919253,0.2306382978723602,0.2310354609929276,0.0537869,0.0519716312056735,960
GSE126030_T_cells,blood,trrust,7,734,PARP1,BCL2,ORAI1,Repression,0.0007898247714924478,0.25,0,0.28687465,0.28585377,0.2306382978723602,0.2306382978723602,0.35956192,0.2643404255319386,743
GSE126030_T_cells,blood,trrust,7,87,CREB1,BCL2,TIMM9,Activation,0.00661292836032324,0.25,0,0.28687465,0.2931736,0.2306382978723602,0.2302411347517927,0.18615851,0.161588652482281,89
GSE126030_T_cells,blood,trrust,7,941,SMAD2,BCL2,HDAC1,Unknown,0.005937214271202935,0.25,0,0.28687465,0.2919253,0.2306382978723602,0.2310354609929276,0.30622372,0.2449929078014399,952
GSE126030_T_cells,blood,trrust,7,391,ING4,BCL2,USP16,Repression,0.002814896704194976,0.25,0,0.28687465,0.2842089,0.2306382978723602,0.2304680851064027,0.119373985,0.1122269503546156,395
GSE126030_T_cells,blood,trrust,7,933,SATB1,HDAC1,MDM4,Unknown,0.0027963295624042375,0.25,0,0.2919253,0.29544416,0.2310354609929276,0.2310921985815801,1.4226522,0.5399716312056911,944
GSE126030_T_cells,blood,trrust,7,146,DEK,BCL2,USP16,Activation,0.002814896704194976,0.25,0,0.28687465,0.2842089,0.2306382978723602,0.2304680851064027,0.53511953,0.38609929078018,149
GSE126030_T_cells,blood,trrust,7,578,NCOA3,BCL2,USP16,Activation,0.002814896704194976,0.25,0,0.28687465,0.2842089,0.2306382978723602,0.2304680851064027,0.18054102,0.1556312056737697,583
GSE126030_T_cells,blood,trrust,7,45,ATM,BCL2,ORAI1,Repression,0.0007898247714924478,0.25,0,0.28687465,0.28585377,0.2306382978723602,0.2306382978723602,0.25243285,0.20578723404257,45
GSE126030_T_cells,blood,trrust,7,387,ING2,BCL2,ANXA2R,Repression,0.003985533736780672,0.25,0,0.28687465,0.28199485,0.2306382978723602,0.2305248226950552,0.11114726,0.1009929078014228,391
GSE126030_T_cells,blood,trrust,7,12,ATF1,BCL2,ANXA2R,Unknown,0.003985533736780672,0.25,0,0.28687465,0.28199485,0.2306382978723602,0.2305248226950552,0.19098194,0.1667517730496575,12
GSE126030_T_cells,blood,trrust,7,135,DDB2,BCL2,ANXA2R,Repression,0.003985533736780672,0.25,0,0.28687465,0.28199485,0.2306382978723602,0.2305248226950552,0.12936015,0.1167659574468147,138
GSE126030_T_cells,blood,trrust,7,1110,TBP,BCL2,ORAI1,Repression,0.0007898247714924478,0.25,0,0.28687465,0.28585377,0.2306382978723602,0.2306382978723602,0.053276252,0.0514609929078012,1122
GSE126030_T_cells,blood,trrust,7,1075,STAT3,PTPN6,ADTRP,Repression,0.008749584820129348,0.25,0,0.3171184,0.3206908,0.2296170212766154,0.228879432624133,0.69830936,0.4604822695035931,1087
GSE126030_T_cells,blood,trrust,7,519,MTA1,HDAC1,ORAI1,Unknown,0.006484356465550182,0.25,0,0.2919253,0.28585377,0.2310354609929276,0.2306382978723602,0.115062125,0.1037163120567422,524
GSE126030_T_cells,blood,trrust,7,242,FLI1,HDAC1,ORAI1,Unknown,0.006484356465550182,0.25,0,0.2919253,0.28585377,0.2310354609929276,0.2306382978723602,0.13645296,0.1251631205673831,246
GSE126030_T_cells,blood,trrust,7,155,DNMT1,HDAC1,BCL2,Unknown,0.005937214271202935,0.25,0,0.2919253,0.28687465,0.2310354609929276,0.2306382978723602,0.21526648,0.1716879432624241,158
GSE126030_T_cells,blood,trrust,7,1204,USF2,PTPN6,PITHD1,Unknown,0.016691988477355087,0.25,0,0.3171184,0.29686254,0.2296170212766154,0.229106382978743,0.29396865,0.2326808510638498,1217
GSE126030_T_cells,blood,trrust,7,716,NPM1,PTPN6,PITHD1,Activation,0.016691988477355087,0.25,0,0.3171184,0.29686254,0.2296170212766154,0.229106382978743,7.4983544,0.9728226950351064,724
GSE126030_T_cells,blood,trrust,7,748,PKNOX1,PTPN6,ADTRP,Activation,0.008749584820129348,0.25,0,0.3171184,0.3206908,0.2296170212766154,0.228879432624133,0.068254724,0.0626950354609927,757
GSE126030_T_cells,blood,trrust,7,643,NFKB1,IRF4,APOL2,Activation,0.09775125891483677,0.25,0,0.4592459,0.33328733,0.2277446808510832,0.2284255319149131,0.2344443,0.1794042553191626,651
GSE126030_T_cells,blood,trrust,7,843,RELA,IRF4,CISD3,Activation,0.06877498747923282,0.25,0,0.4592459,0.39031118,0.2277446808510832,0.2316028368794525,0.20494032,0.1807092198581698,853
GSE126030_T_cells,blood,trrust,7,457,JUN,PDK1,RTN4,Unknown,0.007103018921876008,0.25,0,0.2890874,0.29044944,0.2281418439716507,0.2275177304964733,0.07529028,0.0602553191489359,461
GSE126030_T_cells,blood,trrust,7,340,HIF1A,SDHB,RTN4,Repression,0.001231221468140126,0.25,0,0.28908882,0.29044944,0.2275744680851258,0.2275177304964733,0.61443985,0.3612482269503899,344
