metric,units,auprc_mean,auprc_median,auprc_gt_05,auroc_mean,auroc_median,auroc_gt_05,cliffs_delta_mean
codetection_odds_ratio,28,0.5616976362791412,0.5552115312752168,27,0.5637980575036733,0.5649936691022902,28,0.12759611500734644
coexpression_probability,28,0.5152017731554043,0.5157670630636404,28,0.5154757494366023,0.5150030136793137,28,0.030951498873204593
mutual_information,28,0.5442745665742076,0.535860501743173,28,0.5394821581299263,0.5314565687873861,25,0.07896431625985247
pearson,28,0.5533993499613847,0.5475219244593951,28,0.5462528362963901,0.537732372512394,27,0.09250567259278013
spearman,28,0.549207012696212,0.5408467639386836,28,0.5442347635448117,0.5379504957684846,25,0.08846952708962341
