run_dir,dataset,condition,edge_set,score_definition,metric,n_repeats,n_positive_mean,n_negative_mean,random_auprc_baseline,auroc_mean,auroc_sd,auprc_mean,auprc_sd,enrichment_at_5pct_mean,enrichment_at_5pct_sd,median_difference_mean,median_difference_sd,cliffs_delta_mean,cliffs_delta_sd,positive_median_mean,negative_median_mean,auroc_ci95_low,auroc_ci95_high,auprc_ci95_low,auprc_ci95_high,enrichment_at_5pct_ci95_low,enrichment_at_5pct_ci95_high,median_difference_ci95_low,median_difference_ci95_high,cliffs_delta_ci95_low,cliffs_delta_ci95_high
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,formal_abs,codetection_odds_ratio,10,541.0,541.0,0.5,0.5396807445649017,0.0095610159760604,0.5560263076885676,0.0094361511820596,1.3381818181818184,0.0762770071396473,0.0172768712043762,0.0095836570957485,0.0793614891298034,0.0191220319521208,1.2066442966461182,1.189367425441742,0.5328412057585039,0.5465202833712994,0.5492760917748687,0.5627765236022666,1.283616534359078,1.3927471020045588,0.0104211359166511,0.0241326064921013,0.065682411517008,0.0930405667425988
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,formal_abs,coexpression_probability,10,541.0,541.0,0.5,0.5076930173123639,0.0019533721206435,0.5055266521366912,0.0008045001356099,0.9963636363636365,0.0187781010725207,0.0003512563183903,0.0001931694547166,0.0153860346247279,0.0039067442412871,0.0106727909296751,0.0103215346112847,0.5062956590759663,0.5090903755487616,0.5049511474088428,0.5061021568645396,0.9829305920807332,1.0097966806465395,0.0002130712149397,0.0004894414218409,0.0125913181519327,0.0181807510975231
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,formal_abs,mutual_information,10,541.0,541.0,0.5,0.527739415951155,0.0080177849896664,0.5321003467823064,0.0064704503051507,1.232727272727273,0.0628669211146179,4.47284517576918e-05,1.6325361665538562e-05,0.05547883190231,0.016035569979333,0.0002471831976436,0.0002024547458859,0.5220038380883543,0.5334749938139558,0.527471665471894,0.5367290280927189,1.1877549865519552,1.27769955890259,3.30499915480754e-05,5.64069119673082e-05,0.0440076761767084,0.0669499876279116
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,formal_abs,pearson,10,541.0,541.0,0.5,0.5396189024911081,0.0082577928191121,0.5472371053016819,0.0064609972151376,1.3163636363636364,0.0563343032175624,0.0039469795301556,0.0010217353275609,0.0792378049822161,0.0165155856382243,0.0259045287966728,0.0219575492665171,0.5337116333700307,0.5455261716121855,0.5426151863244928,0.551859024278871,1.276064503514927,1.356662769212346,0.0032160741075292,0.004677884952782,0.0674232667400612,0.0910523432243709
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,formal_abs,spearman,10,541.0,541.0,0.5,0.5285669380656757,0.0084934140489744,0.539394723282623,0.0065547955441195,1.3163636363636364,0.0681380330790554,0.0025475388392806,0.0005985701242438,0.0571338761313512,0.0169868280979489,0.021234605461359,0.0186870666220784,0.5224911156706272,0.5346427604607241,0.5347057050230298,0.5440837415422161,1.2676206238425092,1.3651066488847636,0.0021193475672058,0.0029757301113553,0.0449822313412542,0.0692855209214482
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,codetection_odds_ratio,10,334.0,334.0,0.5,0.5955201871705691,0.0173785145682969,0.622554424616652,0.0191716455334568,1.6176470588235294,0.1622837780122239,0.0581502079963684,0.0151887959035949,0.191040374341138,0.0347570291365938,1.2583751678466797,1.2002249598503112,0.5830883467589405,0.6079520275821977,0.6088398555858189,0.6362689936474851,1.5015562374984108,1.733737880148648,0.0472847979536276,0.0690156180391091,0.1661766935178809,0.2159040551643952
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,coexpression_probability,10,334.0,334.0,0.5,0.526607712718276,0.0028533718849593,0.5211411214725834,0.0016333981123765,1.1294117647058823,0.0372032665902162,0.0009389351587742,0.0001813935728768,0.053215425436552,0.0057067437699187,0.0136449607089161,0.0127060255501419,0.5245665334351194,0.5286488920014326,0.5199726588527249,0.5223095840924419,1.1027981510265763,1.1560253783851882,0.0008091740137213,0.0010686963038271,0.0491330668702388,0.0572977840028652
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,mutual_information,10,334.0,334.0,0.5,0.5779119903904766,0.0123670477084591,0.591943506681041,0.0116520292703458,1.4411764705882353,0.0887782856680138,0.0001463508902816,2.572187473212008e-05,0.155823980780953,0.0247340954169183,0.000360986101441,0.0002146352111594,0.5690651374059854,0.5867588433749678,0.5836081470741376,0.6002788662879445,1.3776683108369914,1.5046846303394792,0.0001279505695579,0.0001647512110052,0.1381302748119706,0.1735176867499354
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,pearson,10,334.0,334.0,0.5,0.5959764602531463,0.011685272712779,0.6121379180127924,0.0110798687031509,1.535294117647059,0.0852433926246436,0.0087244746275246,0.0011579863539622,0.1919529205062928,0.0233705454255581,0.0326975230127573,0.0239730483852326,0.5876173197201207,0.604335600786172,0.6042118574189456,0.6200639786066392,1.4743146680461936,1.5962735672479242,0.0078961010922188,0.0095528481628303,0.1752346394402415,0.2086712015723441
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,spearman,10,334.0,334.0,0.5,0.5858093692853814,0.0132596534074727,0.6010950776852148,0.0135489210854193,1.4588235294117649,0.0774447751299274,0.0063299157656729,0.0013677118206956,0.1716187385707626,0.0265193068149455,0.0263903513550758,0.0200604355894029,0.5763239846498083,0.5952947539209545,0.5914027634185536,0.6107873919518759,1.4034228746926272,1.5142241841309023,0.0053515136693853,0.0073083178619605,0.1526479692996163,0.190589507841909
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,157.0,157.0,0.5,0.5906588502576169,0.0205158920237634,0.6101941164596985,0.0199898586507412,1.4875,0.2598744354918779,0.054405665397644,0.0157636406130247,0.1813177005152338,0.0410317840475269,1.2588528394699097,1.2044471740722655,0.5759826652166404,0.6053350352985933,0.5958942330248749,0.624493999894522,1.301597027890359,1.673402972109641,0.0431290362221623,0.0656822945731257,0.1519653304332808,0.2106700705971869
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,157.0,157.0,0.5,0.5171365978335836,0.0034273213382211,0.5123913945257115,0.0016828440914445,1.0125,0.0395284707521047,0.0010132393799722,0.000437769445801,0.034273195667167,0.0068546426764423,0.0147257493808865,0.0137125100009143,0.5146848398453684,0.5195883558217987,0.5111875603832552,0.5135952286681678,0.9842230354657376,1.0407769645342624,0.0007000779837034,0.001326400776241,0.0293696796907367,0.0391767116435972
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,formal_abs,mutual_information,10,157.0,157.0,0.5,0.5758610896993793,0.0153016888551671,0.5895867672414294,0.0173849690368861,1.5,0.0589255650988789,0.0001605982455657,2.990831323332169e-05,0.1517221793987586,0.0306033777103342,0.0003918635193258,0.00023126527376,0.564914920904098,0.5868072584946606,0.5771503095811213,0.6020232249017375,1.457847190069359,1.542152809930641,0.0001392031271489,0.0001819933639826,0.1298298418081959,0.1736145169893212
