run_dir,dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,pearson,2,334,334,0.5,0.6048710961310912,0.6165714998734139,1.4705882352941178,0.0326975230127573,0.0228011216968297,0.0098964013159275,0.2097421922621822
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,spearman,2,334,334,0.5,0.5956291010792787,0.6034987991619803,1.4705882352941178,0.0263903513550758,0.0194144546985626,0.0069758966565132,0.1912582021585571
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,mutual_information,2,334,334,0.5,0.5861898956577862,0.5934611365651021,1.3529411764705883,0.000360986101441,0.000201512753847,0.000159473347594,0.1723797913155724
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,coexpression_probability,2,334,334,0.5,0.5294291656208541,0.5219326871653258,1.1176470588235294,0.0136449607089161,0.0126317213289439,0.0010132393799722,0.0588583312417081
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,codetection_odds_ratio,2,334,334,0.5,0.6055254759941195,0.6252410572879141,1.4705882352941178,1.2583751678466797,1.193333387374878,0.0650417804718017,0.2110509519882391
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,pearson,3,334,334,0.5,0.5906629854064327,0.6084001445354688,1.4705882352941178,0.0326975230127573,0.024384724907577,0.0083127981051802,0.1813259708128654
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,spearman,3,334,334,0.5,0.5845315357309334,0.6042270304549602,1.4705882352941178,0.0263903513550758,0.0192955061793327,0.0070948451757431,0.1690630714618666
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,mutual_information,3,334,334,0.5,0.5783642296245832,0.5974474391693606,1.411764705882353,0.000360986101441,0.0002110915083903,0.0001498945930507,0.1567284592491662
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,coexpression_probability,3,334,334,0.5,0.5263231022983973,0.521164501457281,1.1764705882352942,0.0136449607089161,0.0125641720369458,0.0010807886719703,0.0526462045967943
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,codetection_odds_ratio,3,334,334,0.5,0.5975025995912367,0.6229261513926861,1.588235294117647,1.2583751678466797,1.1935444474220276,0.0648307204246521,0.1950051991824732
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,pearson,4,334,334,0.5,0.5736042884291297,0.589639250485858,1.411764705882353,0.0326975230127573,0.0258220862597227,0.0068754367530345,0.1472085768582596
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,spearman,4,334,334,0.5,0.5632059234823766,0.5779726667068869,1.2941176470588236,0.0263903513550758,0.0223172437399625,0.0040731076151132,0.126411846964753
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,mutual_information,4,334,334,0.5,0.5593737674351895,0.5709776124912294,1.3529411764705883,0.000360986101441,0.0002529807388782,0.0001080053625628,0.118747534870379
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,coexpression_probability,4,334,334,0.5,0.5242120549320521,0.5188876798979742,1.0588235294117647,0.0136449607089161,0.0127668199129402,0.0008781407959759,0.048424109864104
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,codetection_odds_ratio,4,334,334,0.5,0.5723762056724874,0.5992401202786227,1.4705882352941178,1.2583751678466797,1.2136067748069763,0.0447683930397033,0.1447524113449747
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,pearson,5,334,334,0.5,0.5997077700885654,0.622633769857756,1.6470588235294117,0.0326975230127573,0.0248899292200803,0.0078075937926769,0.1994155401771307
