run_dir,dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,7,718,718,0,0,0.0,0,0,0.0169979067037655,-0.0007195399075283
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,8,718,718,0,0,0.0,0,0,0.0188833208065429,-0.0007678681596759
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,9,718,718,0,0,0.0,0,0,0.0187959451663716,-0.0012364752264875
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,0,528,528,0,0,0.0,0,0,0.0032449784511374,-0.0067753590038315
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,1,528,528,0,0,0.0,0,0,0.003261632526154,-0.0055037284673233
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,2,528,528,0,0,0.0,0,0,0.00324079768656,-0.0074057972173927
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,3,528,528,0,0,0.0,0,0,0.0026850064279707,-0.005653898005289
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,4,528,528,0,0,0.0,0,0,0.0023751993935897,-0.0052326905327252
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,5,528,528,0,0,0.0,0,0,0.0023554193439722,-0.0064727238373699
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,6,528,528,0,0,0.0,0,0,0.0028845276871162,-0.0066856566822346
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,7,528,528,0,0,0.0,0,0,0.0042072477743711,-0.0057837364182735
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,8,528,528,0,0,0.0,0,0,0.0037425086252286,-0.007572196696143
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,9,528,528,0,0,0.0,0,0,0.0029120469351086,-0.006233851037434
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,0,787,787,0,0,0.0,0,0,0.0038174080849245,-0.0029604168559779
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,1,787,787,0,0,0.0,0,0,0.0037627018693645,-0.0042218393569101
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,2,787,787,0,0,0.0,0,0,0.0041015881118401,-0.0046253295182669
