result_source,dataset,condition,edge_set,score_definition,metric,n_repeats,n_positive_mean,n_negative_mean,random_auprc_baseline,auroc_mean,auroc_sd,auprc_mean,auprc_sd,enrichment_at_5pct_mean,enrichment_at_5pct_sd,median_difference_mean,median_difference_sd,cliffs_delta_mean,cliffs_delta_sd,positive_median_mean,negative_median_mean,auroc_ci95_low,auroc_ci95_high,auprc_ci95_low,auprc_ci95_high,enrichment_at_5pct_ci95_low,enrichment_at_5pct_ci95_high,median_difference_ci95_low,median_difference_ci95_high,cliffs_delta_ci95_low,cliffs_delta_ci95_high,dataset_role,analysis_group,run_dir,context_level,context_label
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,405.0,405.0,0.5,0.5601761926535589,0.0114253513137273,0.5655579045528623,0.0106850169410438,1.2926829268292683,0.047406112966222,0.0672909617424011,0.0136309393470946,0.1203523853071178,0.0228507026274546,1.400678038597107,1.3333870768547058,0.5520029886883497,0.568349396618768,0.5579143038938663,0.5732015052118582,1.2587706365345137,1.326595217124023,0.0575399751458363,0.0770419483389659,0.1040059773766995,0.1366987932375361,original IFN-gamma PBMC condition validation,Original dataset contexts,,Tissue contexts,"GSE178429
IFN-gamma
PBMC"
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,405.0,405.0,0.5,0.5168193872885232,0.0033415709604712,0.5202362564005223,0.0037448211789063,1.048780487804878,0.0526889487675436,0.0009590243920683,0.0002756995035179,0.0336387745770461,0.0066831419209424,0.0183086320757865,0.0173496076837182,0.5144289714252195,0.5192098031518269,0.5175573727086341,0.5229151400924105,1.0110890844366345,1.0864718911731217,0.0007618008482591,0.0011562479358776,0.0288579428504388,0.0384196063036534,original IFN-gamma PBMC condition validation,Original dataset contexts,,Tissue contexts,"GSE178429
IFN-gamma
PBMC"
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,mutual_information,10,405.0,405.0,0.5,0.5251589696692578,0.0063219586162513,0.5397444238624378,0.0040271984627083,1.248780487804878,0.0896523496070908,0.0002206386765465,7.76472865681839e-05,0.0503179393385154,0.0126439172325027,0.0020384809467941,0.0018178422702476,0.520636512913976,0.5296814264245396,0.5368635396304978,0.5426253080943778,1.1846470603785713,1.3129139152311848,0.0001650931538714,0.0002761841992215,0.0412730258279518,0.059362852849079,original IFN-gamma PBMC condition validation,Original dataset contexts,,Tissue contexts,"GSE178429
IFN-gamma
PBMC"
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,pearson,10,405.0,405.0,0.5,0.5418576436518824,0.0106825720406893,0.556125084944019,0.0067975877024518,1.3414634146341464,0.0474061129662219,0.0025093391537666,0.0016420000915211,0.0837152873037646,0.0213651440813786,0.0237689800560474,0.0212596409022808,0.5342157919692394,0.5494994953345254,0.5512623836372519,0.5609877862507862,1.3075511243393918,1.375375704928901,0.0013347230487221,0.003683955258811,0.0684315839384787,0.0989989906690506,original IFN-gamma PBMC condition validation,Original dataset contexts,,Tissue contexts,"GSE178429
IFN-gamma
PBMC"
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,spearman,10,405.0,405.0,0.5,0.5436646852613931,0.0101530406658701,0.5591275033362311,0.0067350193594376,1.3853658536585365,0.0251901355850888,0.0024075364693999,0.0012218013611275,0.0873293705227861,0.0203060813317403,0.031769473105669,0.029361936636269,0.5364016375046455,0.5509277330181407,0.5543095607257331,0.563945445946729,1.3673459162058617,1.403385791111211,0.001533512428015,0.0032815605107847,0.072803275009291,0.1018554660362812,original IFN-gamma PBMC condition validation,Original dataset contexts,,Tissue contexts,"GSE178429
IFN-gamma
PBMC"
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,805.0,805.0,0.5,0.5648180239959878,0.0090224064292429,0.5679781114604853,0.0081316851199254,1.3901234567901235,0.0605372034516322,0.09388188123703,0.0145726223177132,0.1296360479919756,0.0180448128584858,1.4588814973831177,1.3649996161460876,0.558363783248518,0.5712722647434576,0.5621610543529149,0.5737951685680557,1.3468177502339425,1.4334291633463043,0.0834572552242153,0.1043065072498447,0.116727566497036,0.1425445294869153,original IFN-gamma PBMC condition validation,Original dataset contexts,,Tissue contexts,"GSE178429
IFN-gamma
PBMC"
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,805.0,805.0,0.5,0.5169278963002971,0.0028864419443437,0.5135622517280439,0.0016141321835339,1.037037037037037,0.0164609053497942,0.0031021915376186,0.0009808105004263,0.033855792600594,0.0057728838886876,0.0410583950579166,0.037956203520298,0.5148630601217796,0.5189927324788146,0.5124075711234326,0.5147169323326553,1.02526161471683,1.048812459357244,0.0024005619727078,0.0038038211025294,0.029726120243559,0.0379854649576291,original IFN-gamma PBMC condition validation,Original dataset contexts,,Tissue contexts,"GSE178429
IFN-gamma
PBMC"
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,formal_abs,mutual_information,10,805.0,805.0,0.5,0.5251995679179043,0.0014481969900515,0.5276504632984877,0.0037072179130308,1.1925925925925926,0.0582562580055519,0.0004680451937019,6.358951382324216e-05,0.0503991358358088,0.0028963939801031,0.0043375305831432,0.0038694853894412,0.5241635901998912,0.5262355456359175,0.5249984793625301,0.5303024472344454,1.1509185761133662,1.234266609071819,0.0004225559958423,0.0005135343915616,0.0483271803997825,0.052471091271835,original IFN-gamma PBMC condition validation,Original dataset contexts,,Tissue contexts,"GSE178429
IFN-gamma
PBMC"
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,formal_abs,pearson,10,805.0,805.0,0.5,0.5540633463215154,0.0051501839571188,0.5463570844103952,0.0040166312292279,1.1530864197530863,0.0570816160803281,0.0065384600311517,0.0011361388725354,0.1081266926430307,0.0103003679142375,0.0395319610834121,0.0329935010522604,0.5503791266608643,0.5577475659821666,0.5434837595219023,0.5492304092988881,1.1122526914870905,1.1939201480190824,0.0057257152425623,0.0073512048197411,0.1007582533217286,0.1154951319643328,original IFN-gamma PBMC condition validation,Original dataset contexts,,Tissue contexts,"GSE178429
IFN-gamma
PBMC"
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,formal_abs,spearman,10,805.0,805.0,0.5,0.5511801242236025,0.0047464000722131,0.5514980591193168,0.004745566096937,1.2765432098765432,0.0534028911852126,0.0070503436028957,0.0011342246261573,0.102360248447205,0.0094928001444262,0.0519671216607093,0.0449167780578136,0.547784754153531,0.554575494293674,0.5481032856392185,0.5548928325994151,1.2383410828693675,1.3147453368837188,0.0062389681836725,0.0078617190221189,0.095569508307062,0.1091509885873479,original IFN-gamma PBMC condition validation,Original dataset contexts,,Tissue contexts,"GSE178429
IFN-gamma
PBMC"
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,301.0,301.0,0.5,0.5870200108166577,0.0146604846873266,0.5741951492198065,0.0143501226929688,1.1419354838709677,0.1098670088124283,0.0921569943428039,0.0195747778288435,0.1740400216333153,0.0293209693746532,1.2872028350830078,1.1950458407402038,0.5765325318509666,0.5975074897823487,0.5639296898501245,0.5844606085894886,1.063341360380645,1.2205296073612903,0.0781540418404534,0.1061599468451545,0.1530650637019332,0.1950149795646974,original IFN-beta PBMC condition validation,Original dataset contexts,,Tissue contexts,"Kang
IFN-beta
PBMC"
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,301.0,301.0,0.5,0.5272910895023234,0.005897765588491,0.5250125062559875,0.0053584918759512,1.0064516129032255,0.087090136478781,0.0015882719308137,0.0004840095966682,0.0545821790046467,0.0117955311769819,0.0219914484769105,0.0204031765460968,0.5230720821589069,0.5315100968457399,0.521179272087035,0.52884574042494,0.9441510823327776,1.0687521434736738,0.0012420323232898,0.0019345115383377,0.0461441643178138,0.0630201936914796,original IFN-beta PBMC condition validation,Original dataset contexts,,Tissue contexts,"Kang
IFN-beta
PBMC"
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,mutual_information,10,301.0,301.0,0.5,0.516724980960475,0.0080154583349278,0.5163394466049709,0.0062072243859247,0.9483870967741936,0.0435450682393905,0.0002973241964355,0.0001783576208258,0.0334499619209501,0.0160309166698556,0.0018284216057509,0.0015310974093154,0.5109910674862093,0.5224588944347408,0.5118990657737024,0.5207798274362394,0.9172368314889696,0.9795373620594175,0.0001697348406484,0.0004249135522225,0.0219821349724186,0.0449177888694815,original IFN-beta PBMC condition validation,Original dataset contexts,,Tissue contexts,"Kang
IFN-beta
PBMC"
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,pearson,10,301.0,301.0,0.5,0.5331210472290593,0.009744846314912,0.5339008185647316,0.007816052081045,1.096774193548387,0.0680059711864167,0.0043605308979749,0.0013649175524753,0.0662420944581185,0.019489692629824,0.0295841582119464,0.0252236273139715,0.5261500041202405,0.5400920903378781,0.528309551731271,0.5394920853981922,1.0481256524141722,1.1454227346826018,0.0033841277007558,0.005336934095194,0.0523000082404809,0.0801841806757561,original IFN-beta PBMC condition validation,Original dataset contexts,,Tissue contexts,"Kang
IFN-beta
PBMC"
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,spearman,10,301.0,301.0,0.5,0.5336563614088145,0.0111569739332715,0.5360999266539355,0.0085062095339821,1.1032258064516127,0.077239935466959,0.0051376558840274,0.0019144308514383,0.0673127228176289,0.0223139478665429,0.0314202904701232,0.0262826345860958,0.5256751430561158,0.541637579761513,0.5300149509203217,0.5421849023875492,1.0479716851999925,1.158479927703233,0.0037681545534823,0.0065071572145725,0.0513502861122317,0.0832751595230261,original IFN-beta PBMC condition validation,Original dataset contexts,,Tissue contexts,"Kang
IFN-beta
PBMC"
