result_source,dataset,condition,edge_set,metric,top_level,repeats,mean_actual_top_n,mean_curated_positive_fraction,sd_curated_positive_fraction,mean_delta_vs_0_5,repeats_above_0_5,trrust_union_known_fraction_mean,analysis_group,source_group,ci95_curated_positive_fraction,min_curated_positive_fraction,max_curated_positive_fraction,complete_threshold_repeats,mean_total_pairs_ranked,mean_positive_pairs_in_evaluation,mean_negative_pairs_in_evaluation,all_repeats_above_0_5,context_level,context_label,fixed_top100_valid,strict_top500_valid
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,coexpression_probability,top_100,10,100.0,0.505,0.0097182531580755,0.005,6.0,0.505,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,coexpression_probability,top_500,10,500.0,0.509,0.0021602468994692,0.009,10.0,0.509,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,coexpression_probability,top_5pct,10,81.0,0.5185185185185185,0.0082304526748971,0.0185185185185185,10.0,0.5185185185185185,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,mutual_information,top_100,10,100.0,0.5660000000000001,0.0302581485810939,0.066,10.0,0.5660000000000001,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,mutual_information,top_500,10,500.0,0.5284000000000001,0.0072295689129205,0.0284,10.0,0.5284000000000001,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,mutual_information,top_5pct,10,81.0,0.5962962962962963,0.0291281290027759,0.0962962962962962,10.0,0.5962962962962963,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,pearson,top_100,10,100.0,0.588,0.0193218356615859,0.0879999999999999,10.0,0.588,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,pearson,top_500,10,500.0,0.5502,0.006494442068244,0.0502,10.0,0.5502,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,pearson,top_5pct,10,81.0,0.5765432098765432,0.028540808040164,0.0765432098765432,10.0,0.5765432098765432,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,spearman,top_100,10,100.0,0.623,0.018885620632287,0.123,10.0,0.623,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,spearman,top_500,10,500.0,0.5652,0.0091990337656854,0.0651999999999999,10.0,0.5652,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,spearman,top_5pct,10,81.0,0.6382716049382716,0.0267014455926063,0.1382716049382716,10.0,0.6382716049382716,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,codetection_odds_ratio,top_100,10,100.0,0.607,0.0286937856222098,0.1069999999999999,10.0,0.607,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,codetection_odds_ratio,top_500,10,500.0,0.53,0.0057348835113617,0.03,10.0,0.53,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,codetection_odds_ratio,top_5pct,10,31.0,0.5709677419354838,0.0549335044062141,0.0709677419354838,9.0,0.5709677419354838,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,coexpression_probability,top_100,10,100.0,0.515,0.0117851130197758,0.015,8.0,0.515,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,coexpression_probability,top_500,10,500.0,0.504,0.0038873012632302,0.004,8.0,0.504,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,coexpression_probability,top_5pct,10,31.0,0.5032258064516129,0.0435450682393905,0.0032258064516129,7.0,0.5032258064516129,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,mutual_information,top_100,10,100.0,0.498,0.0147572957474524,-0.002,3.0,0.498,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,mutual_information,top_500,10,500.0,0.5008,0.0045411696975803,0.0008,5.0,0.5008,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,mutual_information,top_5pct,10,31.0,0.4741935483870968,0.0217725341196952,-0.0258064516129032,1.0,0.4741935483870968,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,pearson,top_100,10,100.0,0.538,0.0181352940116472,0.038,10.0,0.538,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,pearson,top_500,10,500.0,0.5052,0.0042373996218855,0.0052,10.0,0.5052,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,pearson,top_5pct,10,31.0,0.5483870967741935,0.0340029855932083,0.0483870967741935,9.0,0.5483870967741935,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,spearman,top_100,10,100.0,0.5589999999999999,0.0196920739836558,0.059,10.0,0.5589999999999999,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,spearman,top_500,10,500.0,0.5084,0.0057965506984757,0.0084,9.0,0.5084,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,ctrl,trrust_dorothea_intersection,spearman,top_5pct,10,31.0,0.5516129032258064,0.0386199677334795,0.0516129032258064,10.0,0.5516129032258064,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,codetection_odds_ratio,top_100,10,100.0,0.611,0.0152388392675499,0.1109999999999999,10.0,0.611,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,codetection_odds_ratio,top_500,10,500.0,0.518,0.0041096093353126,0.018,10.0,0.518,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,codetection_odds_ratio,top_5pct,10,30.0,0.6333333333333333,0.0471404520791031,0.1333333333333333,10.0,0.6333333333333333,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,coexpression_probability,top_100,10,100.0,0.5,0.0105409255338946,0.0,4.0,0.5,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,coexpression_probability,top_500,10,500.0,0.5104,0.003747591819348,0.0104,10.0,0.5104,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,coexpression_probability,top_5pct,10,30.0,0.5333333333333333,0.0,0.0333333333333333,10.0,0.5333333333333333,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,mutual_information,top_100,10,100.0,0.482,0.0103279555898864,-0.018,0.0,0.482,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,mutual_information,top_500,10,500.0,0.5104,0.0051467357508316,0.0104,9.0,0.5104,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
