context_group,pathway,top_level,combinations,combinations_fdr_in_at_least_5_repeats,median_fold_enrichment,best_bh_fdr,support_fraction,context_level
Adult cell types,Glycolysis,top_5pct,140,3,2.1486042692939242,4.041028189589384e-07,0.02142857142857143,Adult cell types
Adult cell types,Hedgehog Signaling,top_100,140,1,4.6098023571130575,0.0324212793934561,0.007142857142857143,Adult cell types
Adult cell types,Hedgehog Signaling,top_500,140,0,2.272222222222222,0.0906819019695462,0.0,Adult cell types
Adult cell types,Hedgehog Signaling,top_5pct,140,0,0.0,0.1437814521926671,0.0,Adult cell types
Adult cell types,Heme Metabolism,top_100,140,1,1.0801719452634087,0.0306513291656075,0.007142857142857143,Adult cell types
Adult cell types,Heme Metabolism,top_500,140,1,1.5102560441500958,0.0102861925349131,0.007142857142857143,Adult cell types
Adult cell types,Heme Metabolism,top_5pct,140,0,0.0,0.1831311281166719,0.0,Adult cell types
Adult cell types,Hypoxia,top_100,140,118,3.5888961449809704,8.52022790000625e-10,0.8428571428571429,Adult cell types
Adult cell types,Hypoxia,top_500,140,140,2.154754699982661,4.510457170238397e-13,1.0,Adult cell types
Adult cell types,Hypoxia,top_5pct,140,82,4.452390963511537,1.0089136691426456e-08,0.5857142857142857,Adult cell types
Adult cell types,Il2 Stat5 Signaling,top_100,140,21,2.2593529439471833,9.953346871181782e-05,0.15,Adult cell types
Adult cell types,Il2 Stat5 Signaling,top_500,140,73,1.886406864416636,8.475034872549456e-06,0.5214285714285715,Adult cell types
Adult cell types,Il2 Stat5 Signaling,top_5pct,140,8,2.649881712215678,0.0001177217876887,0.05714285714285714,Adult cell types
Adult cell types,Il6 Jak Stat3 Signaling,top_100,140,14,2.098406593406594,0.0006081644780612,0.1,Adult cell types
Adult cell types,Il6 Jak Stat3 Signaling,top_500,140,51,1.9882690659258753,0.0001672131697019,0.36428571428571427,Adult cell types
Adult cell types,Il6 Jak Stat3 Signaling,top_5pct,140,5,2.471590909090909,0.000305104322003,0.03571428571428571,Adult cell types
Adult cell types,Inflammatory Response,top_100,140,64,3.103295164979422,1.0218315807928856e-08,0.45714285714285713,Adult cell types
Adult cell types,Inflammatory Response,top_500,140,101,1.9444444444444444,1.0699959125311948e-08,0.7214285714285714,Adult cell types
Adult cell types,Inflammatory Response,top_5pct,140,47,4.507371794871796,2.21415697654126e-09,0.3357142857142857,Adult cell types
Adult cell types,Interferon Alpha Response,top_100,140,0,0.9763794406651549,0.1538585094231867,0.0,Adult cell types
Adult cell types,Interferon Alpha Response,top_500,140,10,1.7432330806047591,0.0105265132447105,0.07142857142857142,Adult cell types
Adult cell types,Interferon Alpha Response,top_5pct,140,0,0.0,0.2627145297299657,0.0,Adult cell types
Adult cell types,Interferon Gamma Response,top_100,140,45,2.531477108749836,1.3285614034349226e-05,0.32142857142857145,Adult cell types
Adult cell types,Interferon Gamma Response,top_500,140,119,1.9894179894179893,1.996411789518048e-08,0.85,Adult cell types
Adult cell types,Interferon Gamma Response,top_5pct,140,17,2.5438167570548766,0.0008894680254087,0.12142857142857143,Adult cell types
Adult cell types,Kras Signaling Dn,top_100,135,0,0.0,0.2968230595899426,0.0,Adult cell types
Adult cell types,Kras Signaling Dn,top_500,135,0,0.0,0.1383553086585012,0.0,Adult cell types
Adult cell types,Kras Signaling Dn,top_5pct,135,0,0.0,1.0,0.0,Adult cell types
Adult cell types,Kras Signaling Up,top_100,140,6,2.0539613661814107,0.0063579818869234,0.04285714285714286,Adult cell types
Adult cell types,Kras Signaling Up,top_500,140,9,1.3984392419175027,0.0028852566930835,0.06428571428571428,Adult cell types
Adult cell types,Kras Signaling Up,top_5pct,140,5,1.6281300500969618,0.0032606423386347,0.03571428571428571,Adult cell types
Adult cell types,Mitotic Spindle,top_100,140,0,0.8891991170159685,0.0517052244544212,0.0,Adult cell types
Adult cell types,Mitotic Spindle,top_500,140,0,1.1416666666666666,0.0133566842800954,0.0,Adult cell types
Adult cell types,Mitotic Spindle,top_5pct,140,0,0.0,0.0848506449605394,0.0,Adult cell types
Adult cell types,Mtorc1 Signaling,top_100,140,57,2.4757217972024446,3.4675677196378096e-08,0.40714285714285714,Adult cell types
Adult cell types,Mtorc1 Signaling,top_500,140,103,1.743915343915344,2.722119364165105e-06,0.7357142857142858,Adult cell types
Adult cell types,Mtorc1 Signaling,top_5pct,140,34,2.6606079547481682,5.274166090122718e-07,0.24285714285714285,Adult cell types
Adult cell types,Myc Targets V1,top_100,140,0,1.3180685382225819,0.04518762389102,0.0,Adult cell types
Adult cell types,Myc Targets V1,top_500,140,26,1.3550519095291065,0.000120050381954,0.18571428571428572,Adult cell types
Adult cell types,Myc Targets V1,top_5pct,140,0,1.1169677373381077,0.1064167514500272,0.0,Adult cell types
Adult cell types,Myc Targets V2,top_100,135,0,2.3562367864693448,0.042093251451044,0.0,Adult cell types
Adult cell types,Myc Targets V2,top_500,135,17,1.6980337078651684,0.0003167787630596,0.1259259259259259,Adult cell types
Adult cell types,Myc Targets V2,top_5pct,135,1,3.58470695970696,0.0299221160273961,0.007407407407407408,Adult cell types
Adult cell types,Myogenesis,top_100,140,11,2.2069290505542916,0.0012212923997313,0.07857142857142857,Adult cell types
Adult cell types,Myogenesis,top_500,140,5,1.490042701863354,6.037022386324303e-05,0.03571428571428571,Adult cell types
Adult cell types,Myogenesis,top_5pct,140,8,2.7041860916860916,0.0006189620522414,0.05714285714285714,Adult cell types
Adult cell types,Notch Signaling,top_100,135,0,0.0,0.2777777777777778,0.0,Adult cell types
Adult cell types,Notch Signaling,top_500,135,0,0.0,0.3319609806757909,0.0,Adult cell types
Adult cell types,Notch Signaling,top_5pct,135,0,0.0,1.0,0.0,Adult cell types
Adult cell types,Oxidative Phosphorylation,top_100,140,0,0.6110898509328488,0.074268904153262,0.0,Adult cell types
Adult cell types,Oxidative Phosphorylation,top_500,140,0,0.788978494623656,0.1169615739001009,0.0,Adult cell types
Adult cell types,Oxidative Phosphorylation,top_5pct,140,0,0.0,0.3978710436812251,0.0,Adult cell types
Adult cell types,P53 Pathway,top_100,140,64,2.9498669654438885,3.678657695708856e-05,0.45714285714285713,Adult cell types
Adult cell types,P53 Pathway,top_500,140,99,1.8529694349366483,5.681067539925415e-08,0.7071428571428572,Adult cell types
Adult cell types,P53 Pathway,top_5pct,140,42,3.9811249724342312,5.240428167530196e-06,0.3,Adult cell types
Adult cell types,Pancreas Beta Cells,top_100,130,0,0.0,0.1415428167020523,0.0,Adult cell types
Adult cell types,Pancreas Beta Cells,top_500,130,0,0.0,0.1799246942112326,0.0,Adult cell types
Adult cell types,Pancreas Beta Cells,top_5pct,130,0,0.0,0.1108998732572876,0.0,Adult cell types
Adult cell types,Peroxisome,top_100,140,0,0.0,0.0886950533290007,0.0,Adult cell types
Adult cell types,Peroxisome,top_500,140,0,0.9760221420128334,0.0434469659993702,0.0,Adult cell types
Adult cell types,Peroxisome,top_5pct,140,0,0.0,0.3829662859497782,0.0,Adult cell types
Adult cell types,Pi3K Akt Mtor Signaling,top_100,140,11,2.233361937452327,0.0024084494995389,0.07857142857142857,Adult cell types
Adult cell types,Pi3K Akt Mtor Signaling,top_500,140,22,1.5296296296296297,1.487484982006323e-05,0.15714285714285714,Adult cell types
Adult cell types,Pi3K Akt Mtor Signaling,top_5pct,140,15,2.582846003898635,0.0005211138590464,0.10714285714285714,Adult cell types
Adult cell types,Protein Secretion,top_100,140,0,0.0,0.2216744891166554,0.0,Adult cell types
Adult cell types,Protein Secretion,top_500,140,0,1.112364479534385,0.0591231627069634,0.0,Adult cell types
Adult cell types,Protein Secretion,top_5pct,140,0,0.0,0.4938617962185428,0.0,Adult cell types
Adult cell types,Reactive Oxygen Species Pathway,top_100,140,2,2.3837241828857683,0.008345704346215,0.014285714285714285,Adult cell types
Adult cell types,Reactive Oxygen Species Pathway,top_500,140,21,1.8135332316083912,0.0008819412259087,0.15,Adult cell types
Adult cell types,Reactive Oxygen Species Pathway,top_5pct,140,0,2.054177861048265,0.0036759279009838,0.0,Adult cell types
Adult cell types,Spermatogenesis,top_100,120,0,0.0,0.1687017994858611,0.0,Adult cell types
Adult cell types,Spermatogenesis,top_500,120,0,0.0,0.1957975761747215,0.0,Adult cell types
Adult cell types,Spermatogenesis,top_5pct,120,0,0.0,0.187446443873179,0.0,Adult cell types
